#key	name	year	genre	developer	players
10-Pin Bowling (USA) (Proto)	10-Pin Bowling	1999	Sports / Bowling/Sports	Morning Star Multimedia	1-2
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan)	3 Choume no Tama : Tama and Friends, 3 Choume Obake Panic!!	1994	Adventure	Tom Create	1
3-pun Yosou - Umaban Club (Japan)	3-pun Yosou : Umaban Club	1992	Sports with animals/Horse racing	HectorSoft	1
4-in-1 Fun Pak (USA, Europe)	4-in-1 Fun Pak	1992	Board game	Beam Software	1-2
4-in-1 Funpak - Volume II (USA, Europe)	4-in-1 Fun Pak Volume II	1992	Board game	Beam Software	1-2
A-mazing Tater (USA)	Amazing Tater	1991	Puzzle/Strategy	Atlus	1
Aa Harimanada (Japan)	Aa Harimanada	1993	Sports / Sumo/Sports	SEGA	1-2
Addams Family, The (USA)	The Addams Family	1992	Platform	Ocean	1
Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)	The Addams Family : Pugsley's Scavenger Hunt	1993	Platform	Ocean	1
Adventure Island (USA, Europe)	Adventure Island	1992	Platform	Hudson Soft	1
Adventure Island II - Aliens in Paradise (USA, Europe)	Adventure Island II: Aliens in Paradise	1993	Platform	Hudson Soft	1
Adventures of Lolo (Europe) (SGB Enhanced)	Adventures Of Lolo	1995	Puzzle	HAL Laboratory	1
Adventures of Rocky and Bullwinkle and Friends, The (USA)	The Adventures of Rocky and Bullwinkle and Friends	1992	Platform	Imagineer	1
Adventures of Star Saver, The (USA, Europe)	The Adventures of Star Saver	1992	Platform	A Wave Inc	1
Aerostar (USA, Europe)	Aerostar	1991	Shoot'em Up	Sigma Pro-Tech	1
After Burst (Japan) (En)	After Burst	1990	Puzzle	Dual	1
Akazukin Chacha (Japan) (SGB Enhanced)	Akazukin Chacha	1995	Role Playing Game	Access Games	1
Aladdin (World) (Disney Classic Games) (SGB Enhanced)	Aladdin	1994	Platform	Virgin	1
Alfred Chicken (USA)	Alfred Chicken	1994	Platform / Run & Jump Scrolling/Platform	Twilight	1
