#name	crc	size	key
10-Pin Bowling (USA) (Proto)	9a024415	131072	10-Pin Bowling (USA) (Proto)
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan)	b61cd120	131072	3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan)
3-pun Yosou - Umaban Club (Japan)	cafe0d2b	65536	3-pun Yosou - Umaban Club (Japan)
4-in-1 Fun Pak (Japan)	86f45343	131072	4-in-1 Fun Pak (USA, Europe)
4-in-1 Fun Pak (USA, Europe)	0e0216e6	131072	4-in-1 Fun Pak (USA, Europe)
4-in-1 Funpak - Volume II (USA, Europe)	018b4a02	131072	4-in-1 Funpak - Volume II (USA, Europe)
A-mazing Tater (USA)	d229ac62	65536	A-mazing Tater (USA)
Aa Harimanada (Japan)	5bffcc28	131072	Aa Harimanada (Japan)
Addams Family, The (Europe) (En,Fr,De)	28fa451e	131072	Addams Family, The (USA)
Addams Family, The (Japan)	4c749c14	131072	Addams Family, The (USA)
Addams Family, The (USA)	c170a732	131072	Addams Family, The (USA)
Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)	7e054a88	131072	Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)
Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe) (Beta 1)	a260e5ce	131072	Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)
Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe) (Beta 2) (1993-04-22)	37949272	131072	Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)
Adventure Island (USA, Europe)	64f4fa44	131072	Adventure Island (USA, Europe)
Adventure Island II - Aliens in Paradise (USA, Europe)	783066cf	262144	Adventure Island II - Aliens in Paradise (USA, Europe)
Adventures of Lolo (Europe) (SGB Enhanced)	176d2eeb	262144	Adventures of Lolo (Europe) (SGB Enhanced)
Adventures of Pinocchio, The (Europe) (Proto)	0b9de1dc	65536	Otto's Ottifanten - Baby Bruno's Alptraum (Europe) (En,Fr,De,Es)
Adventures of Rocky and Bullwinkle and Friends, The (USA)	362c841c	131072	Adventures of Rocky and Bullwinkle and Friends, The (USA)
Adventures of Star Saver, The (USA, Europe)	5d461374	131072	Adventures of Star Saver, The (USA, Europe)
Aerostar (Japan) (En)	dfa3b28a	131072	Aerostar (USA, Europe)
Aerostar (USA, Europe)	f6fd275e	131072	Aerostar (USA, Europe)
After Burst (Japan) (En)	c0049d77	65536	After Burst (Japan) (En)
Agro Soar (Australia)	9b7945ea	131072	We're Back! - A Dinosaur's Story (USA, Europe)
Akazukin Chacha (Japan) (SGB Enhanced)	898609b4	262144	Akazukin Chacha (Japan) (SGB Enhanced)
Akumajou Dracula - Shikkoku Taru Zensoukyoku - Dark Night Prelude (Japan) (SGB Enhanced)	4825b25f	262144	Castlevania Legends (USA, Europe) (SGB Enhanced)
Akumajou Special - Boku Dracula-kun (Japan)	e8335398	262144	Kid Dracula (USA, Europe)
Aladdin (Europe) (SGB Enhanced)	283c58b7	262144	Aladdin (World) (Disney Classic Games) (SGB Enhanced)
Aladdin (Europe) (Sample) (SGB Enhanced)	28827ea5	262144	Aladdin (World) (Disney Classic Games) (SGB Enhanced)
Aladdin (USA) (SGB Enhanced)	af6bdc50	262144	Aladdin (World) (Disney Classic Games) (SGB Enhanced)
Aladdin (World) (Disney Classic Games) (SGB Enhanced)	53918941	262144	Aladdin (World) (Disney Classic Games) (SGB Enhanced)
Alfred Chicken (Europe)	3cab28d9	131072	Alfred Chicken (USA)
Alfred Chicken (Europe) (Beta)	2e19f638	131072	Alfred Chicken (USA)
Alfred Chicken (Japan) (En) (SGB Enhanced)	1089098f	262144	Alfred Chicken (USA)
Alfred Chicken (USA)	3b9c3bc6	131072	Alfred Chicken (USA)
Alien 3 (Japan) (En)	e59049b2	131072	Alien 3 (USA, Europe)
Alien 3 (USA, Europe)	effb960b	131072	Alien 3 (USA, Europe)
Alien Games (USA) (Proto)	67a8a76f	131072	Alien Olympics (Europe)
Alien Olympics (Europe)	583c0e4e	131072	Alien Olympics (Europe)
Alien Olympics (Europe) (Beta 1)	303fb7cc	131072	Alien Olympics (Europe)
Alien Olympics (Europe) (Beta 2)	0b14241c	131072	Alien Olympics (Europe)
Alien Olympics (Europe) (Beta 3) (1994-06-14)	07436316	131072	Alien Olympics (Europe)
Alien vs Predator (Japan)	e884682b	131072	Alien vs Predator - The Last of His Clan (USA)
Alien vs Predator - The Last of His Clan (USA)	4bbcf652	131072	Alien vs Predator - The Last of His Clan (USA)
All-Star Baseball 99 (USA)	d51ee6d3	524288	All-Star Baseball 99 (USA)
Alleyway (World)	5cc01586	32768	Alleyway (World)
Altered Space - A 3-D Alien Adventure (Europe)	24d5f785	131072	Altered Space - A 3-D Alien Adventure (USA)
Altered Space - A 3-D Alien Adventure (Japan) (En)	ce36e36e	131072	Altered Space - A 3-D Alien Adventure (USA)
Altered Space - A 3-D Alien Adventure (USA)	141675d3	131072	Altered Space - A 3-D Alien Adventure (USA)
Amazing Penguin (USA, Europe)	3011d5ca	65536	Amazing Penguin (World) (Limited Run Games)
Amazing Penguin (World) (Limited Run Games)	82d4664c	65536	Amazing Penguin (World) (Limited Run Games)
Amazing Spider-Man, The (USA, Europe)	2a4eafe4	65536	Amazing Spider-Man, The (USA, Europe)
America Oudan Ultra Quiz (Japan)	3be275cd	262144	America Oudan Ultra Quiz (Japan)
America Oudan Ultra Quiz Part 2 (Japan)	1b3231c8	262144	America Oudan Ultra Quiz Part 2 (Japan)
America Oudan Ultra Quiz Part 2 (Japan) (Rev 1)	739c26fc	262144	America Oudan Ultra Quiz Part 2 (Japan)
America Oudan Ultra Quiz Part 3 - Champion Taikai (Japan)	80cac37c	262144	America Oudan Ultra Quiz Part 3 - Champion Taikai (Japan)
America Oudan Ultra Quiz Part 4 (Japan)	a76043c8	262144	America Oudan Ultra Quiz Part 4 (Japan)
Amida (Japan) (En)	60128aa8	32768	Amida (Japan) (En)
Animal Breeder (Japan) (SGB Enhanced)	c2eec22f	524288	Animal Breeder (Japan) (SGB Enhanced)
Animal Breeder 2 (Japan) (SGB Enhanced)	8d573f37	524288	Animal Breeder 2 (Japan) (SGB Enhanced)
Animaniacs (Europe) (SGB Enhanced)	7b23e05c	262144	Animaniacs (USA) (SGB Enhanced)
Animaniacs (USA) (SGB Enhanced)	673c815d	262144	Animaniacs (USA) (SGB Enhanced)
Another Bible (Japan) (SGB Enhanced)	4a486435	524288	Another Bible (Japan) (SGB Enhanced)
Aoki Densetsu Shoot! (Japan) (SGB Enhanced)	08727760	262144	Aoki Densetsu Shoot! (Japan) (SGB Enhanced)
Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe) (SGB Enhanced)	8259ac54	131072	Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe) (SGB Enhanced)
Arcade Classic No. 2 - Centipede & Millipede (USA, Europe) (SGB Enhanced)	b14c3b31	131072	Arcade Classic No. 2 - Centipede & Millipede (USA, Europe) (SGB Enhanced)
Arcade Classic No. 3 - Galaga & Galaxian (Europe) (SGB Enhanced)	d06b3f8a	131072	Arcade Classic No. 3 - Galaga & Galaxian (USA) (SGB Enhanced)
Arcade Classic No. 3 - Galaga & Galaxian (USA) (SGB Enhanced)	6a6ecfec	131072	Arcade Classic No. 3 - Galaga & Galaxian (USA) (SGB Enhanced)
Arcade Classic No. 4 - Defender & Joust (USA, Europe) (SGB Enhanced)	1c829ce3	131072	Arcade Classic No. 4 - Defender & Joust (USA, Europe) (SGB Enhanced)
Arcade Classics - Super Breakout & Battlezone (USA, Europe) (SGB Enhanced)	6c292739	262144	Arcade Classics - Super Breakout & Battlezone (USA, Europe) (SGB Enhanced)
Aretha (Japan)	1db65649	131072	Aretha (Japan)
Aretha II (Japan)	086e4fc5	262144	Aretha II (Japan)
Aretha III (Japan)	430d3d6b	262144	Aretha III (Japan)
Asmik-kun World 2 (Japan)	caae6b11	131072	Asmik-kun World 2 (Japan)
Asterix & Obelix (Europe) (En,Es) (SGB Enhanced)	b1fd41d0	262144	Asterix & Obelix (Europe) (En,Es) (SGB Enhanced)
Asterix & Obelix (Europe) (Fr,De) (Beta) (SGB Enhanced)	bfa1d7be	262144	Asterix & Obelix (Europe) (En,Es) (SGB Enhanced)
Asterix & Obelix (Europe) (Fr,De) (SGB Enhanced)	5143e227	262144	Asterix & Obelix (Europe) (En,Es) (SGB Enhanced)
Asterix (Europe) (En,Fr,De,Es,It)	097ffe2c	131072	Asterix (Europe) (En,Fr,De,Es,It)
Asterix (USA) (Proto 1)	6ccfee1f	32768	Asterix (Europe) (En,Fr,De,Es,It)
Asterix (USA) (Proto 2)	0050b16f	32768	Asterix (Europe) (En,Fr,De,Es,It)
Asterix (USA) (Proto 3)	a4cc3c3a	131072	Asterix (Europe) (En,Fr,De,Es,It)
Asteroids (USA, Europe)	c1f88833	32768	Asteroids (USA, Europe)
Asteroids (USA, Europe) (Beta)	eb31e472	32768	Asteroids (USA, Europe)
Astro Rabby (Japan) (En)	61e48eef	65536	Astro Rabby (Japan) (En)
Atomic Punk (USA)	c4720897	131072	Atomic Punk (USA)
Attack of the Killer Tomatoes (Japan)	23068679	131072	Attack of the Killer Tomatoes (USA, Europe)
Attack of the Killer Tomatoes (USA, Europe)	b5b38860	131072	Attack of the Killer Tomatoes (USA, Europe)
Avenging Spirit (USA, Europe)	cf2ba5f7	262144	Avenging Spirit (USA, Europe)
Ayakashi no Shiro (Japan)	da90f5fc	65536	Ayakashi no Shiro (Japan)
B.C. Kid (Europe)	373343e6	262144	Bonk's Adventure (USA)
B.C. Kid 2 (Europe) (Beta) (SGB Enhanced)	11ffc359	262144	Bonk's Revenge (USA) (SGB Enhanced)
B.C. Kid 2 (Europe) (SGB Enhanced)	c28ef062	262144	Bonk's Revenge (USA) (SGB Enhanced)
Baby T-Rex (Europe)	3f73fe7a	131072	We're Back! - A Dinosaur's Story (USA, Europe)
Bakenou TV '94 (Japan) (SGB Enhanced)	d1c3f371	131072	Bakenou TV '94 (Japan) (SGB Enhanced)
Bakenou V3 (Japan)	4e2fffe5	131072	Bakenou V3 (Japan)
Bakuchou Retrieve Master (Japan) (SGB Enhanced)	8a546dec	524288	Bakuchou Retrieve Master (Japan) (SGB Enhanced)
Bakuchou Retsuden Shou - Hyper Fishing (Japan) (SGB Enhanced)	ab3477c4	524288	Bakuchou Retsuden Shou - Hyper Fishing (Japan) (SGB Enhanced)
Bakuretsu Senshi Warrior (Japan) (En)	ecf1b801	65536	Cyraid (USA)
Balloon Kid (USA, Europe)	d4b655ec	131072	Balloon Kid (USA, Europe)
Bamse (Sweden)	1b713de0	131072	We're Back! - A Dinosaur's Story (USA, Europe)
Banishing Racer (Japan)	3d13ec6a	131072	Banishing Racer (Japan)
Barbie - Game Girl (USA) (Beta)	4660e0ab	131072	Barbie - Game Girl (USA, Europe)
Barbie - Game Girl (USA, Europe)	94c26cdf	131072	Barbie - Game Girl (USA, Europe)
Bart Simpson's Escape from Camp Deadly (USA, Europe)	5546a382	131072	Bart Simpson's Escape from Camp Deadly (USA, Europe)
Bart no Survival Camp (Japan) (En)	0fd66b1a	131072	Bart Simpson's Escape from Camp Deadly (USA, Europe)
Baseball (World)	6eea2526	65536	Baseball (World)
Baseball Kids (Japan)	a503cb07	131072	Bases Loaded (USA)
Bases Loaded (USA)	d37a2fdf	131072	Bases Loaded (USA)
