#key	style	ss_system_id
10-Pin Bowling (USA) (Proto)	box-3D	10
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan)	box-3D	9
3-pun Yosou - Umaban Club (Japan)	box-3D	9
4-in-1 Fun Pak (USA, Europe)	box-3D	9
4-in-1 Funpak - Volume II (USA, Europe)	box-3D	9
A-mazing Tater (USA)	box-3D	9
Aa Harimanada (Japan)	box-3D	9
Addams Family, The (USA)	box-3D	9
Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)	box-3D	9
Adventure Island (USA, Europe)	box-3D	9
Adventure Island II - Aliens in Paradise (USA, Europe)	box-3D	9
Adventures of Lolo (Europe) (SGB Enhanced)	box-3D	127
Adventures of Rocky and Bullwinkle and Friends, The (USA)	box-3D	9
Adventures of Star Saver, The (USA, Europe)	box-3D	9
Aerostar (USA, Europe)	box-3D	9
After Burst (Japan) (En)	box-3D	9
Akazukin Chacha (Japan) (SGB Enhanced)	box-3D	127
Aladdin (World) (Disney Classic Games) (SGB Enhanced)	box-3D	9
Alfred Chicken (USA)	box-3D	9
Alien 3 (USA, Europe)	box-3D	9
Alien Olympics (Europe)	box-3D	9
Alien vs Predator - The Last of His Clan (USA)	box-3D	9
All-Star Baseball 99 (USA)	box-3D	9
Alleyway (World)	box-3D	9
Altered Space - A 3-D Alien Adventure (USA)	box-3D	9
Amazing Penguin (World) (Limited Run Games)	box-3D	9
Amazing Spider-Man, The (USA, Europe)	box-3D	9
America Oudan Ultra Quiz (Japan)	box-3D	9
America Oudan Ultra Quiz Part 2 (Japan)	box-3D	9
America Oudan Ultra Quiz Part 3 - Champion Taikai (Japan)	box-3D	9
America Oudan Ultra Quiz Part 4 (Japan)	box-3D	9
Amida (Japan) (En)	box-3D	9
Animal Breeder (Japan) (SGB Enhanced)	box-3D	9
Animal Breeder 2 (Japan) (SGB Enhanced)	box-3D	9
Animaniacs (USA) (SGB Enhanced)	box-3D	9
Another Bible (Japan) (SGB Enhanced)	box-3D	9
Aoki Densetsu Shoot! (Japan) (SGB Enhanced)	mixrbv2	127
Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe) (SGB Enhanced)	box-3D	9
Arcade Classic No. 2 - Centipede & Millipede (USA, Europe) (SGB Enhanced)	box-3D	9
Arcade Classic No. 3 - Galaga & Galaxian (USA) (SGB Enhanced)	box-3D	9
Arcade Classic No. 4 - Defender & Joust (USA, Europe) (SGB Enhanced)	box-3D	9
Arcade Classics - Super Breakout & Battlezone (USA, Europe) (SGB Enhanced)	box-3D	9
Aretha (Japan)	box-3D	9
Aretha II (Japan)	box-3D	9
Aretha III (Japan)	box-3D	9
Asmik-kun World 2 (Japan)	box-3D	9
Asterix & Obelix (Europe) (En,Es) (SGB Enhanced)	box-3D	9
Asterix (Europe) (En,Fr,De,Es,It)	box-3D	9
Asteroids (USA, Europe)	box-3D	9
Astro Rabby (Japan) (En)	box-3D	9
Atomic Punk (USA)	box-3D	9
Attack of the Killer Tomatoes (USA, Europe)	box-3D	9
Avenging Spirit (USA, Europe)	box-3D	9
Ayakashi no Shiro (Japan)	box-3D	9
Bakenou TV '94 (Japan) (SGB Enhanced)	box-3D	9
Bakenou V3 (Japan)	box-3D	9
Bakuchou Retrieve Master (Japan) (SGB Enhanced)	box-3D	9
Bakuchou Retsuden Shou - Hyper Fishing (Japan) (SGB Enhanced)	box-3D	9
Balloon Kid (USA, Europe)	box-3D	9
Banishing Racer (Japan)	box-3D	9
Barbie - Game Girl (USA, Europe)	box-3D	9
Bart Simpson's Escape from Camp Deadly (USA, Europe)	box-3D	9
Baseball (World)	box-3D	9
Bases Loaded (USA)	box-3D	9
Bass Fishing Tatsujin Techou (Japan)	box-3D	9
Batman - Return of the Joker (USA, Europe)	box-3D	9
Batman - The Animated Series (USA, Europe)	box-3D	9
Batman - The Video Game (World)	box-3D	9
Batman Forever (USA, Europe)	box-3D	9
Battle Arena Toshinden (USA) (SGB Enhanced)	box-3D	9
Battle Bull (USA)	box-3D	9
Battle Crusher (Japan) (SGB Enhanced)	box-3D	9
Battle Dodge Ball (Japan)	box-3D	9
Battle Pingpong (Japan) (En)	box-3D	9
Battle Space (Japan)	box-3D	9
Battle Unit Zeoth (USA, Europe)	box-3D	9
Battle of Kingdom (Japan)	box-3D	9
Battle of Olympus, The (Europe) (En,Fr,De,Es,It)	box-3D	9
BattleCity (Japan) (En)	box-3D	9
Battleship (USA, Europe)	box-3D	9
Battletoads (USA, Europe)	box-3D	9
Battletoads in Ragnarok's World (USA)	box-3D	9
Battletoads-Double Dragon (USA)	box-3D	9
Beavis and Butt-head (USA, Europe)	box-3D	9
Beethoven (Europe) (SGB Enhanced)	box-3D	9
Beetlejuice (USA)	box-3D	9
Best of the Best - Championship Karate (USA)	box-3D	9
Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal (Japan)	box-3D	9
Bill & Ted's Excellent Game Boy Adventure - A Bogus Journey! (USA, Europe)	box-3D	9
Bill Elliott's NASCAR Fast Tracks (USA)	box-3D	9
Bionic Battler (USA)	box-3D	9
Bionic Commando (USA)	box-3D	9
Bishoujo Senshi Sailor Moon (Japan)	box-3D	9
Bishoujo Senshi Sailor Moon R (Japan)	box-3D	9
