#key	synopsis
10-Pin Bowling (USA) (Proto)	Für diejenigen, deren Bowling nur eine alte Erinnerung ist, ist es Zeit, neue Energie zu tanken ... natürlich Zeit für eine Partie Bowling! Die Stärke von 10 Pin Bowling liegt in der Benutzerfreundlichkeit. Es ist tatsächlich möglich, am selben Automaten gegen einen zweiten Spieler anzutreten! Was die Aktion betrifft, ist es klassisch: seitliche Bewegung des Spielers, Anpassung der Wurfkraft und Steuerung der auf den Ball ausgeübten Wirkung. Sicher, es ist umfassend, aber nichts weiter als die Konkurrenz. Leider ist nur ein Einzelspieler-Spielmodus verfügbar und es ist nur eine Übung. Darüber hinaus gibt es keine Optionen wie die Ballauswahl oder das anfängliche Pin-Layout. Es genügt zu sagen, dass Sie dieses Spiel schnell satt haben werden. Beachten Sie das im Modul ein Rumble-Pack integriert ist.
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan)	Du spiels als kleine Katze die durch die Stadt rennt. Versuche den Autos und bösen Hunden auszuweichen während du all deine Tierfreunde suchst. Spiele ein paar Mini Spiele um deine Lebenspunkte zu erhöhen.
3-pun Yosou - Umaban Club (Japan)	Das Spiel ermöglicht es den Spielern, Wetten auf Pferderennen zu platzieren.
4-in-1 Fun Pak (USA, Europe)	4-in-1 Fun Pak verbinden vier Brettspiele die du gegen die CPU oder ein anderen Spieler spielen kannst. Das Packet beinhaltet folgende Spiele: Schach, Dame, Reversi, und Backgammon. Jedes Spiel bietet verschiedene Schwierigkeitsstufen (1 ist die einfachste, 6 ist am schwierigsten), mit einfacher Schwarz-Weiß-Grafik und einem herausfordernden CPU-Gegner. Mehrspieler ist entweder über den Game Link Kable oder an dem selben Game Boy verfügbar.
4-in-1 Funpak - Volume II (USA, Europe)	Jetzt kannst du vier der beliebtesten Brettspiele aller Zeiten auf deinem GAME BOY haben ... alles zusammen in einem unterhaltsamen Paket! Sargon Chess... Dame... Backgammon... Reversi... zur jederzeit an jedem Ort. Das 4-in-1-Fun-Pak von Interplay ist der perfekte Gegner zu Hause oder unterwegs. Alle vier Spiele können alleine, von Angesicht zu Angesicht oder über den GAME LINK von GAME BOY gespielt werden. Wenn du also nach einer harten Konkurrenz suchst, schalte einfach dein GAME BOY ein und gib dein Bestes.
A-mazing Tater (USA)	Dieses Puzzle-Spiel ist der Nachfolger von Kwirk. Der Spieler muss eine kleine Kartoffel zum Ausgang jedes Levels führen, was durch eine Reihe von Hindernissen erschwert wird. Kisten müssen aus dem Weg geräumt oder in Löcher geschoben werden, um sie begehbar zu machen. Die Schwierigkeit wird durch die Tatsache erhöht, dass es Kisten und Löcher in verschiedenen Formen und Größen gibt und viele Ebenen verschiedene Arten von Drehtüren enthalten.
Aa Harimanada (Japan)	Aa Harimanada ist ein Sumo-Wrestling-Spiel, das auf dem Manga und Anime von Kei Sadayasu basiert. Wie im echten Sport ist es das Ziel, den Gegner aus dem Ring zu werfen. Es ist jedoch keine besonders realistische Interpretation des Sumos, sondern ähnelt einem traditionellen 1-gegen-1-Kampfspiel. Man kann Zupacken, den Gegner werfen und Spezialangriffe ausführen, und der Spieler kann auch durch Knockout gewinnen, indem er die Ausdauer des Gegners verringert. Es gibt einen Einzelspielermodus, der der Geschichte des Protagonisten Harimanada folgt, sowie einen Versus-Modus für einen oder zwei Spieler, in dem 15 Charaktere verwendet werden können.
Addams Family, The (USA)	„The Addams Family“ ist ein Side-Scrolling-Plattformer, der auf dem gleichnamigen Film basiert. Der Spieler übernimmt die Rolle von Gomez, der nach seinen vermissten Familienmitgliedern sucht. Um sie zu finden, muss er sechs verschiedene Teile des Herrenhauses erkunden, z. Der Wald oder der Friedhof sind grundlegende Plattformebenen: Der Spieler bewegt sich von links nach rechts, während er viel springt und Feinden ausweicht. Im Gegensatz zu den anderen Versionen des Spiels stehen ihm Waffen zur Verfügung, z.B. ein Wurfmesser. Weitere Unterschiede sind ein einzigartiges Leveldesign und ein anderes Gesundheitssystem: Gomez verfügt über fünf Herzen, die praktisch wie eine Lebensanzeige funktionieren, da jeder Treffer nur einen Teil eines Herzens wegnimmt.
Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)	The Addams Family: Pugsley's Scavenger Hunt ist ein Side-Scrolling-Plattformspiel, das auf der zweiten Zeichentrickserie The Addams Family (1992) basiert. Die gesamte Addams-Familie wird in der Villa von verschiedenen Monstern gefangen gehalten und Pugsley muss sie retten. Sie sind in verschiedenen Teilen des Herrenhauses versteckt, z. Der Wald, der in beliebiger Reihenfolge betreten werden kann. Das Gameplay folgt den üblichen Plattformstandards: Pugsley bewegt sich von links nach rechts, springt dabei viel und weicht Feinden aus. Diese Version des Spiels basiert stark auf der SNES-Version von The Addams Family – sie bietet die gleiche Handlung mit einer anderen Hauptfigur und fast identischem Leveldesign. Ein weiterer Unterschied zur SNES-Version dieses Spiels besteht darin, dass Pugsley nur zwei Treffer einstecken kann, bevor er stirbt – es gibt jedoch ein zusätzliches Power-Up, das ihn schneller macht und ihm einen zusätzlichen Treffer verleiht.
Adventure Island (USA, Europe)	„Adventure Island II“ begleitet Master Higgins auf seiner Mission, seine entführte Freundin aus den Fängen außerirdischer Eindringlinge zu befreien. Das klassische Jump-'n'-Run-Gameplay bleibt erhalten: Higgins muss Hindernissen ausweichen, Gegner besiegen und stets Nahrung sammeln, da seine Hungeranzeige kontinuierlich sinkt. Ein Treffer bedeutet sein Ende – es sei denn, er verfügt über Power-ups wie Waffen oder ein Skateboard. Eine große Neuerung sind Dinosaurier als Reittiere, die ihm besondere Fähigkeiten verleihen, darunter Fliegen oder das Spucken von Feuerbällen. Vor jedem Level kann der Spieler seine gesammelten Power-ups strategisch auswählen. Higgins reist durch acht abwechslungsreiche Welten mit alternativen Routen und muss sich am Ende jedes Gebiets einem Bossgegner stellen.
