#key	synopsis
10-Pin Bowling (USA) (Proto)	10-PIN BOWLING te ofrece toda la diversión de los bolos en miniatura en tu Game Boy Color. Juega solo o con un amigo en 10 marcos de acción de bolos simple y directa. Desafía a tu amigo a ver quién es mejor o reta tus propias puntuaciones para ver si puedes vencerlo. Apunta con cuidado y aplica la cantidad adecuada de fuerza y estarás acumulando strikes en poco tiempo. Este cartucho también utiliza la tecnología Rumble para que puedas sentir cada golpe y cada recambio en el callejón. 10-PIN BOWLING tiene todo menos el apestoso alquiler de zapatos. ¿Gobernarás el callejón, o serás sólo otra bola de canalón?
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan)	En este juego de aventuras, simpáticos gatos y perros luchan por encontrar a su gato perdido &quot;Momo-chan&quot;. Hay siete divertidos minijuegos en el juego. Una característica interesante es que puedes aumentar el valor de la salud de tu personaje jugando al bingo. Si tienes suerte, tu valor de resistencia aumentará enormemente, haciéndote casi invencible.
3-pun Yosou - Umaban Club (Japan)	Una simulación de carreras de caballos que predice una racha de victorias. Puede predecir fácilmente las rachas ganadoras de los números de los caballos porque se introducen de antemano varios datos sobre las carreras pasadas. Es lo que llamamos una herramienta. Como principiantes en las carreras de caballos, es muy conveniente porque sólo se necesitan preparar dos tipos de datos y predecirá la racha ganadora. Sin embargo, esa comodidad = cálculos informáticos tipo caja negra, pueden no ser populares entre los usuarios avanzados de las carreras de caballos. ¿Es innecesario para las personas que pueden leer los periódicos de carreras de caballos?
4-in-1 Fun Pak (USA, Europe)	4-in-1 Fun Pack reúne cuatro juegos de mesa para jugar contra la CPU o contra un amigo. Los títulos incluidos son Ajedrez, Damas, Reversi y Backgammon. Cada juego cuenta con varios niveles de dificultad (1 es la más fácil, 6 es la más difícil) y simples gráficos en blanco y negro. El modo multijugador está disponible ya sea compartiendo la misma Game Boy entre dos jugadores o usando el cable Game Link para jugar con dos Game Boys.
4-in-1 Funpak - Volume II (USA, Europe)	Ahora puedes tener cuatro de los juegos de mesa más populares de todos los tiempos en tu Game Boy ... ¡todos juntos en un cartucho lleno de diversión! Ajedrez Sargon, Damas, Backgammon, Reversi... en cualquier momento, en cualquier lugar. El 4-in-1 Fun Pak Volume 2 de Interplay se convierte en el adversario perfecto, en casa o en la carretera. Los cuatro juegos se pueden jugar en solitario, con dos jugadores compartiendo la consola, o a través del cable Game Link con dos Game Boys. Por lo tanto, siempre que estés buscando una competencia dura, enciende tu Game Boy y compite por ser el mejor.
A-mazing Tater (USA)	Este juego de rompecabezas es el sucesor de Kwirk. El jugador debe guiar una pequeña patata a la salida de cada nivel, lo que se dificulta por una serie de obstáculos. Las cajas deben ser empujadas fuera del camino o en los agujeros para que puedan atravesarse. La dificultad aumenta por el hecho de que hay cajas y agujeros de diferentes formas y tamaños, y muchos niveles contienen diferentes tipos de puertas giratorias. El juego presenta cuatro modos de juego diferentes: el modo Principiante en el que se explican los conceptos básicos y el jugador recibe sugerencias sobre cómo resolver cada nivel. El modo Práctica que permite al jugador elegir el tamaño de los niveles que luego se seleccionan al azar. El modo Puzzle en el que el jugador tiene que completar 40 niveles y recibe una puntuación según el tiempo que tarde en completar el nivel. Y el modo Acción, que es un modo historia que contiene dos historias. El juego también cuenta con un sistema de contraseñas y cuatro niveles de dificultad diferentes.
Aa Harimanada (Japan)	Aa Harimanada es un juego de lucha de sumo basado en el manga y anime creado por Kei Sadayasu. Como en el deporte real, el objetivo es golpear al oponente fuera del ring. Sin embargo, no es una interpretación particularmente realista del sumo, jugándose como un juego de lucha tradicional 1-vs-1. Hay agarres, lanzamientos, y movimientos especiales, y el jugador también puede ganar por nocaut drenando la resistencia del oponente. Hay un modo de un solo jugador que sigue la historia del protagonista Harimanada, así como un modo versus para uno o dos jugadores donde se puede usar cualquiera de los 15 personajes.
Addams Family, The (USA)	The Addams Family es un juego de plataformas de desplazamiento lateral basado en la película del mismo nombre. El jugador toma el papel de Gómez, quien busca a los miembros de su familia desaparecidos. Para encontrarlos, tiene que explorar seis partes diferentes de la mansión, como el bosque y el cementerio. El estilo de juego es el clásico de juegos de plataformas: el jugador se mueve de izquierda a derecha mientras salta constantemente y evita a los enemigos. A diferencia de las otras versiones del juego, en esta Gómez tiene armas arrojadizas a su disposición.
Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)	La mansión familiar va a ser demolida y reemplazada por un parque de atracciones, y por lo tanto la familia será desalojada. Mientras los adultos están tratando de encontrar una solución, los niños vagan por la casa ayudando a su manera peculiar. Sólo si encuentran los documentos de propiedad de la Mansión los contratistas pueden ser detenidos.
Adventure Island (USA, Europe)	En el Pacífico Sur, el Maestro Higgins vive en paz usando solo una falda de hierba y una gorra. Eso es hasta que el malvado médico brujo decide capturar a Tina y raptarla. Depende del Maestro Higgins reunir hachas, bolas de fuego y monopatines para rescatarlannEl juego es un desplazador lateral, el Maestro Higgins se mueve a través de la pantalla de izquierda a derecha y encuentra nuevas habilidades en huevos gigantes. Esto incluye un monopatín o diferentes animales que aumentan su velocidad, hasta que recibe un golpe. Si no está sobre una montura, un golpe significa muerte instantánea. Otra mecánica del juego es la inanición, que se indica a través de una barra que disminuye constantemente. Si llega a cero, el héroe muere y la única forma de llenarlo es recolectando comida por el camino. Los jefes lo esperan al final de los niveles, hasta llegar al Doctor Evil Witch.
