#key	synopsis
10-Pin Bowling (USA) (Proto)	Pour ceux dont la quille n&#39;est plus qu&#39;un vieux souvenir, il est temps de rempiler... le temps d&#39;une partie de bowling évidemment ! Le point fort de 10 Pin Bowling se situe au niveau convivialité. Il est, en effet, possible d&#39;affronter un deuxième joueur sur la même machine ! Côté action, c&#39;est du classique : déplacement latéral du joueur, réglage de la puissance de votre lancer et gestion de l&#39;effet appliqué à la boule. Certes, c&#39;est complet, mais rien de plus que la concurrence. Malheureusement, un seul mode de jeu en solo est disponible et il ne s&#39;agit que d&#39;un entraînement. De plus, il n&#39;y a aucune option telle que le choix de la boule ou la disposition initiale des quilles. Autant dire que vous vous lasserez vite de ce jeu. A noter, la présence d&#39;un rumble pack intégré à la cartouche.
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan)	Vous dirigez un petit chat qui traverse une ville. Essayez d'éviter les voitures et les chiens tout en retrouvant tous vos amis . Augmentez le nombre de coups que vous pouvez encaisser en jouant à quelques mini-jeux.
3-pun Yosou - Umaban Club (Japan)	3-Pun Yosou - Umaban Club est un jeu de gestion typiquement nippon qui propose au joueur de parier sur des courses équestres virtuelles. Techniquement assez spartiate, le soft fourmille de textes en japonais, son unique illustration se résumant à son écran titre.
4-in-1 Fun Pak (USA, Europe)	Cette compilation de jeux de société réunit de grands classiques: Backgammon, Dames, Reversi et Echecs. Techniquement assez austère, le soft se contente du minimum syndical en matière d'options. L'intelligence artificielle n'est pas non plus des plus dégourdies, et bien qu'elle réponde du tac au tac, fait parfois des erreurs de débutant assez grossières. 4 in 1 Funpak reste néanmoins une valeur sûre pour les amateurs du genre grâce à son mode Link.
4-in-1 Funpak - Volume II (USA, Europe)	Cette compilation de jeux de société réunit de grands classiques: Solitaire, Dominos, Crib et Yacht. Graphiquement, la réalisation est très limitée, mais le soft permet de s'amuser à deux avec une seule Game Boy ainsi qu'en mode Link.
A-mazing Tater (USA)	Amazing Tater est un jeu de réflexion dans lequel vous incarnez une pomme de terre que vous devez mener à la fin de chaque niveau. Pour ce faire, vous devrez manipuler des caisses pour vous frayer un chemin vers la sortie.
Aa Harimanada (Japan)	Aa Harimanada est un jeu de lutte de sumo basé sur le manga et l'animé créé par Kei Sadayasu. Comme dans ce sport réel le but est de sortir l'adversaire du ring. Cependant l'interprétation du sumo n'est pas tout à fait réaliste, cela ressemble plus à un traditionnel jeu de combat en 1-VS-1. Il existe un mode solo qui suit l'histoire du protagoniste Harimanada, un mode versus de un à deux joueurs où 15 personnages différents peuvent être incarnés.
Addams Family, The (USA)	The Addams Family est un jeu de plates-formes sur Gameboy. L'histoire se situe vers la fin du film La Famille Addams alors que la famille est expulsée de son manoir par un avocat zélé. Comme si cela ne suffisait pas, on apprend que Morticia, Pugsley, Mercredi et les autres ont disparu ! Vous incarnez donc Gomez, seul rescapé, qui partira à la recherche de sa famille et affrontera tous ses ennemis jusqu'au dernier : l'avocat !
Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)	The Addams Family : Pugsley's Scavenger Hunt est un jeu de plates-formes sur Gameboy. Inspiré de l'univers délirant de la Famille Addams, ce jeu vous met dans la peau de Pugsley, le fils de Gomez et de Morticia. Plusieurs membres de la famille ont été faits prisonniers dans le manoir et il ne tient qu'à vous de fouiller les lieux pour les libérer. Il est d'ailleurs possible d'explorer les pièces dans n'importe quel ordre !
Adventure Island (USA, Europe)	Adventure Island, appelé aussi Adventure Island Classic, est un jeu vidéo de plates-formes sorti sur Gameboy. Ce jeu a été développé par Hudson Soft. Portage du jeu d'arcade Wonder Boy de Sega dont Hudson Soft était responsable, il a été décidé pendant le développement de remplacer le principal personnage de la version originale par le porte-parole d'Hudson Soft : Takahashi Meijin. Dans la version occidentale du jeu, celui-ci sera rebaptisé Master Higgins. En dépit de son titre, Adventure Island est le second volet de la série (mais le premier à sortir sur Gameboy). Vous incarnez un petit homme des cavernes parti à la rescousse de son amie capturée par des aliens. Vous disposez d'un marteau pour frapper vos ennemis sur la tête.
