#key	synopsis
Aa Harimanada (Japan)	Aa Harimanada è un gioco sulla lotta sumo, basato sui manga e anime creati da Kei Sadayasu. Cosi come nella sua controparte reale, l'obiettivo del gioco è di buttare l'avversario al di fuori del ring. La rappresentazione del sumo, tuttavia, non è particolarmente realista, e lo stile di gioco è molto simile ad un picchiaduro 1-vs-1 tradizionale. Sono presenti prese, lanci, e mosse speciale, e il giocatore può vincere sia realizzando un &quot;KO&quot; sia facendo in modo che la resistenza del proprio avversario si esaurisca. Sono presenti una modalità singolo giocatore che segue le gesta del protagonista Harimanada, cosi come una modalità &quot;versus&quot; per uno o due giocatori, dove sono utilizzabili ciascuno dei 15 personaggi di gioco
Addams Family, The (USA)	&quot;The Addams Family&quot; è un platform a scorrimento laterale basato sul film omonimo. Il giocatore assume il ruolo di Gomez che cerca i membri della sua famiglia scomparsi. Per trovarli, deve esplorare sei diverse parti della magione, come il bosco o il cimitero, che sono livelli di base a piattaforme: il giocatore si muove da sinistra a destra saltando molto e evitando nemici. A differenza delle altre versioni del gioco, ha a disposizione armi come un coltello da lancio. Altre differenze includono un design unico dei livelli e un altro sistema di salute: Gomez ha cinque cuori che agiscono praticamente come una barra della vita perché ogni colpo toglie solo una parte di un cuore.
Adventure Island (USA, Europe)	Nel Sud del Pacifico, il Maestro Higgins vive pacificamente indossando solo una gonna di erba e un cappello. Questo fino a quando un malvagio stregone non decide di catturare Tina e tenerla in ostaggio. Spetta al Maestro Higgins il dovere di raccogliere asce da lancio, palle di fuoco e skateboard per aiutarsi nella sua nobile ricerca.
Adventure Island II - Aliens in Paradise (USA, Europe)	Jeannie Jungle è stata catturata dagli alieni! È bloccata da qualche parte su una delle otto isole e tu, l'eroico Maestro Higgins, devi trovarla. Ma fai attenzione: ogni isola è sorvegliata da un'enorme creatura, ed è affamata! Esplora 8 livelli Colleziona oggetti come: Asce, Skateboard e Boomerang Fatti aiutare dai dinosauri locali Salva la tua ragazza dalla minaccia aliena
Adventures of Lolo (Europe) (SGB Enhanced)	La principessa Lala è stata rapita e il principe Lolo deve salvarla. Usa la tua arguzia e le tue risorse per affrontare un castello pieno di insidie e salvare Lala! Adventures of Lolo contiene 50 stanze con divertenti rompicapi. Colleziona tutti i blocchi cuore di ogni stanza per aprire il forziere. Diversi mostri e altri ostacoli bloccheranno la tua strada. Se raccogli alcuni blocchi cuore, potrai ottenere dei colpi magici che tramuteranno i nemici in uova, che potrai utilizzare per attraversare i fiumi. Ma fai attenzione: i nemici non resteranno a lungo nei loro gusci!
Aerostar (USA, Europe)	Aerostar è uno sparatutto dall'alto verso il basso a scorrimento verticale. Il giocatore controlla un aereo, ma invece di attraversare lo schermo, può solo rimanere o sorvolare una strada preimpostata. Tuttavia, può salire a costo di disattivare le tue armi prima di ridiscendere su un'altra strada o su quella su cui si trovava prima. Come la maggior parte degli sparatutto dall'alto, ci sono pod di potenziamento che forniscono una serie di missili, laser e pod guardiani. Alla fine di ogni livello ci sono boss estremamente difficili. Non viene fornita alcuna trama.
After Burst (Japan) (En)	After Burst è un gioco di puzzle. Siete una specie di guerriero spaziale e dovete distruggere una sfera in un determinato tempo. Naturalmente, ci sono nemici sulla vostra strada, così come mine e spesso piattaforme su cui dovete saltare per raggiungere la sfera. Sapendo che non avete difese e quindi perdete al minimo contatto o colpo, il gioco diventa rapidamente avvincente e interessante per trovare rapidamente la soluzione. Tuttavia, la musica rimane la stessa per tutto il gioco, il che, a mio parere, è l'unico inconveniente di questo gioco molto interessante. È presente anche l'opzione versus, che prolunga la già lunga durata del gioco.
Alien vs Predator - The Last of His Clan (USA)	Nell'anno 2593, sul pianeta Alpha Centauri 3, dei predatori in cerca di un territorio di caccia depongono uova aliene. Le uova si schiudono presto e sterminano la popolazione umana. Tuttavia, quando i predatori si avvicinano per la caccia, scoprono di essere in netta inferiorità numerica e subiscono la stessa sorte. Solo uno di loro sopravvive. Egli ipotizza che tra gli alieni nati dalle uova ci fosse una regina che deponeva altre uova, il che spiegherebbe l'enorme numero di alieni. L'ultimo sopravvissuto si propone di distruggere la regina e riconquistare l'onore del suo clan. Il predatore deve attraversare diversi livelli a scorrimento laterale per raggiungere la regina, distruggendo alieni in tutte le loro forme: facehugger nati dalle uova, alieni chestburster e guerrieri adulti.
Alleyway (World)	Alleyway è una variante di Breakout. Nel gioco, il giocatore assume il ruolo di Mario e controlla un &quot;Podship&quot;, deviando una palla contro i blocchi. Colpire un blocco può distruggerlo o indebolirlo. Una volta distrutti tutti i blocchi, il livello è completato. Il gioco presenta un numero limitato di livelli che si ripetono con alcune variazioni, come la rotazione orizzontale o il periodico abbassamento dell'intera massa di blocchi.
Amazing Spider-Man, The (USA, Europe)	Mary Jane è stata rapita! Uno dei nemici di Spider-Man ha scoperto la sua vera identità: Peter Parker. Sfortunatamente per Spidey, chi abbia rapito Mary Jane è un mistero. Quindi, dovrai guidare Spider-Man attraverso 5 livelli per scoprire dove si è nascosta. Questo gioco del 1990 è un gioco d'azione a scorrimento laterale. Spider-Man può usare le sue abilità di tessitore di ragnatele per appendersi al soffitto o spararle come proiettili, ma la maggior parte dei suoi attacchi sono pugni o calci. Sono inclusi anche due segmenti a scorrimento verticale in cui bisogna arrampicarsi sugli edifici.
