#key	synopsis
10-Pin Bowling (USA) (Proto)	10-PIN BOWLING traz toda a diversão do boliche em miniatura para o seu Game Boy Color. Jogue sozinho ou com um amigo em 10 rodadas de pura ação de boliche tradicional. Desafie seu amigo para ver quem é melhor ou tente bater seus próprios recordes para ver se consegue superá-los. Mire com cuidado e aplique a força certa para acumular strikes rapidamente. Este cartucho também utiliza a tecnologia Rumble, para que você sinta cada strike e spare na pista. 10-PIN BOWLING tem tudo, menos o aluguel dos sapatos fedorentos. Você vai dominar a pista ou vai acabar fazendo só bola na canaleta?
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan)	Você está jogando como um gatinho correndo por uma cidade. Tente evitar carros e cães maus enquanto encontra todos os seus amigos animais. Aumente a quantidade de acertos que você pode receber jogando alguns minijogos.
3-pun Yosou - Umaban Club (Japan)	O jogo permite que os jogadores façam apostas em corridas de cavalos.
4-in-1 Fun Pak (USA, Europe)	4-em-1 Fun Pak combina quatro jogos de tabuleiro para jogar contra a CPU ou um colega jogador. Os títulos incluídos são Xadrez, Damas, Reversi e Gamão. Cada jogo apresenta uma série de diferentes configurações de dificuldade (1 sendo o mais fácil, 6 o mais difícil), com visuais simples em preto e branco e um oponente de CPU desafiador para enfrentar. Multiplayer está disponível, usando o mesmo Game Boy entre dois jogadores ou usando a opção de link do sistema para jogar com dois Game Boys.
4-in-1 Funpak - Volume II (USA, Europe)	Agora você pode ter quatro dos jogos de tabuleiro mais populares de todos os tempos no seu GAME BOY... todos juntos em um pacote cheio de diversão! Xadrez Sargão... Damas... Gamão... Reversi... a qualquer hora, em qualquer lugar. O Fun Pak 4 em 1 da Interplay é o adversário perfeito, em casa ou na estrada. Todos os quatro jogos podem ser jogados sozinho, cara a cara ou via GAME BOY's GAME LINK. Então, sempre que você estiver procurando por uma competição acirrada, basta ligar seu GAME BOY e dar o seu melhor.
A-mazing Tater (USA)	Este jogo de quebra-cabeça é o sucessor do Kwirk. O jogador deve guiar uma pequena batata até a saída de cada nível, o que é dificultado por uma série de obstáculos. As caixas devem ser empurradas para fora do caminho ou para dentro dos orifícios para que possam ser empurradas. A dificuldade é aumentada pelo fato de haver caixas e buracos de diferentes formas e tamanhos, e muitos níveis conterem diferentes tipos de portas giratórias. O jogo apresenta quatro modos de jogo diferentes: Modo iniciante no qual o básico é explicado e o jogador recebe dicas sobre como resolver cada nível. Modo de prática que permite ao jogador escolher o tamanho dos níveis que são selecionados aleatoriamente. Modo de quebra-cabeça no qual o jogador deve completar 40 níveis e recebe uma pontuação baseada no tempo que leva para completar o nível. E o modo Action, que é um modo de história que contém duas histórias. O jogo também possui um sistema de senha e quatro níveis de dificuldade diferentes.
Aa Harimanada (Japan)	Aa Harimanada é um jogo de luta de sumô baseado no mangá e anime criado por Kei Sadayasu. Como no esporte real, o objetivo é tirar o adversário do ringue. No entanto, não é uma interpretação particularmente realista do sumô, jogando muito como um tradicional jogo de luta 1 contra 1. Existem agarramentos, arremessos e movimentos especiais, e o jogador também pode vencer por nocaute, drenando a resistência do oponente. Existe um modo single-player que segue a história do protagonista Harimanada, bem como um modo versus para um ou dois jogadores, onde qualquer um dos 15 personagens pode ser usado.
Addams Family, The (USA)	&quot;The Addams Family&quot; é um jogo de plataforma lançado em 1991 pela Ocean Software para diversos consoles, incluindo o Game Boy. O jogo é baseado na série de televisão e filmes de mesmo nome, que apresenta uma família excêntrica e macabra vivendo em uma estranha mansão.
Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)	A mansão da família vai ser demolida e substituída por um parque de diversões, e assim a família será despejada. Enquanto os adultos tentam encontrar uma solução, as crianças andam pela casa ajudando da sua maneira peculiar. Somente se encontrarem os documentos de propriedade da Mansão é que os empreiteiros podem ser parados.
Adventure Island (USA, Europe)	No Pacífico Sul, o Mestre Higgins vive pacificamente vestindo apenas uma saia de grama e um boné. Isso até que o Feiticeiro Maligno decida capturar Tina e segurá-la como sua. Cabe ao Mestre Higgins reunir machados, bolas de fogo e skates para ajudar em sua nobre missão. O jogo é um side scroller, Master Higgins se move pela tela da esquerda para a direita e encontra seus power-ups em ovos gigantes. Isso inclui um skate que resulta em um grande aumento de velocidade - até que Master Higgins seja atingido e perca seu poder. Se ele não estiver em um skate, um golpe significa morte instantânea. Outra mecânica de jogo é a fome que é indicada através de um medidor que diminui constantemente. Se chegar a zero, o herói morre e a única maneira de preenchê-lo é coletando comida no caminho. Os chefes esperam por ele no final dos níveis, até o próprio Evil Witch Doctor.
Adventure Island II - Aliens in Paradise (USA, Europe)	Jeannie Jungle foi capturada por alienígenas! Ela está presa em algum lugar em uma das oito ilhas e você, como o heróico Mestre Higgins, deve encontrá-la. Mas tenha cuidado - cada ilha é guardada por uma enorme criatura que está com muita fome! Explore 8 níveis Colete itens como: Machados, Skates e bumerangues Conte com a ajuda dos dinossauros locais Salve sua namorada dos alienígenas ameaçadores Felizmente, você tem uma pequena ajuda. Existem cinco tipos de dinossauros amigáveis esperando para lhe dar uma carona. Eles estão presos em ovos que você precisará abrir! Ovos escondidos estão espalhados por todas as ilhas. Ao encontrá-los e abri-los, você pode obter um bônus, ou até mesmo um caminho secreto para a próxima ilha! Só não coma a berinjela... Então suba em um de seus amigos dinossauros e vá para o resgate de Jeannie!
Adventures of Rocky and Bullwinkle and Friends, The (USA)	Moose on the Loose ou Squirrely Heroes! Um novo episódio na vida de Bullwinkle quando ele descobre que é o Perdido Conde de Moosechester! Ele e seu amigo, Rocket J. Squirrel, precisam ir de Frostbite Falls, Minnesota até a Abombinable Manor na Inglaterra para que ele possa receber sua herança. O problema é que aqueles dois malfeitores, Boris Badenov e Natasha Fatale, estão atrás da mesma fortuna. Como Bullwinkle, você irá enfrentar inimigos terríveis enquanto evita os ataques bombásticos de Boris e Natasha. Ou, como Rocky, o Esquilo Voador, você voará para a ação contra vilões armados com gás bobo. Você é moose o suficiente para esse desafio? Fique ligado! Dê poderosos cabeçadas como um alce enfurecido! Mergulhe nos inimigos em grande estilo de esquilo! Troque instantaneamente de Bullwinkle para Rocky - o que a situação exigir!
Aerostar (USA, Europe)	Aerostar é um shooter de rolagem vertical de cima para baixo. O jogador controla uma aeronave, mas em vez de percorrer toda a tela, ela só pode permanecer ou voar sobre uma estrada predefinida. No entanto, ele pode subir ao custo de desativar suas armas antes de descer de volta para outra estrada ou para a que estava antes. Como a maioria dos atiradores de cima para baixo, existem pods de power-up que fornecem uma variedade de mísseis, lasers e pods de guardiões. No final de cada nível há chefes extremamente difíceis. Nenhum enredo é fornecido.
After Burst (Japan) (En)	Em After Burst, o jogador assume o papel de um robô de combate que deve destruir um orbe em cada nível de tela. Mas antes que isso possa acontecer, uma série de obstáculos deve ser eliminada, por exemplo. robôs errantes, desafios de plataforma ou pequenos quebra-cabeças (quando os blocos não destrutíveis são colocados diretamente acima dos destrutíveis, eles caem quando seu suporte acaba). Além de andar e pular, o robô também tem uma arma à sua disposição. O ângulo pode ser alterado e segurando o botão de disparo por mais tempo, a distância de vôo do tiro pode ser definida. Cada nível tem um limite de tempo e às vezes há um chefe para derrotar. Além disso, há um modo de duelo, também em níveis mostrados de lado, no qual dois oponentes (o segundo controlado por um humano ou pela IA) tentam se matar.
Aladdin (World) (Disney Classic Games) (SGB Enhanced)	O jogador controla Aladdin, que deve atravessar vários níveis inspirados no filme: das ruas e telhados de Agrabah, a Caverna das Maravilhas e a masmorra do Sultão até o confronto final no palácio do Grande Vizir Jafar. Os guardas do sultão e também os animais do deserto querem bloquear o caminho de Aladdin, que pode se defender com sua espada ou atirando maçãs. Junto com as maçãs, Aladdin também pode coletar joias que podem ser trocadas por vidas e &quot;continues&quot; com os mercadores. Encontrar ícones Gênio ou Abu permite o acesso a níveis de bônus.
Alfred Chicken (USA)	Alfred, o frango, precisa resgatar seus amigos e seu pássaro (com o perdão do trocadilho) Floella das Galinhas Meka. O resultado é um jogo de plataforma com níveis temáticos diferentes, que são concluídos subindo até o topo do nível ou matando um chefe. Jogos bônus e salas secretas foram incluídos, e a progressão às vezes requer a resolução de quebra-cabeças posicionais. Alfred não pode voar, mas pode usar rampas para pular e atingir os inimigos com seu bico biônico — isso os mata, mas qualquer outro contato machucará Alfred. Cuidado com os caracóis espinhosos. Outros inimigos incluem baleias armadas com armas de fogo e bombas perdidas.
Alien vs Predator - The Last of His Clan (USA)	No ano de 2593, no planeta Alfa Centauri 3, Predadores à procura de um terreno de caça plantam ovos Alienígenas. Os Aliens depressa eclodem do ovo e exterminam toda a população humana. No entanto, quando os predadores iniciam a caçada, percebem que estão em grande desvantagem numérica e sofrem o mesmo destino. Apenas um deles sobrevive. Ele pensa que entre os ovos plantados, havia uma rainha que punha ovos adicionais, o que explicaria o grande número de Aliens. O último sobrevivente promete destruir a rainha e recuperar a honra do seu clã. O Predador deve atravessar vários níveis para chegar até à rainha, enquanto destrói Alienígenas em todas as suas formas - Facehuggers, Aliens e Guerreiros Adultos.
Alleyway (World)	Alleyway é um jogo de quebra de tijolos desenvolvido pela Nintendo e Intelligent Systems para o Game Boy. É um clone do Breakout e um dos primeiros jogos desenvolvidos para o Game Boy. O objetivo do jogador em Alleyway é limpar todos os tijolos em cada fase usando uma bola e uma raquete enquanto evita que a bola caia no fosso abaixo, semelhante ao de Breakout. A velocidade da raquete pode ser ajustada segurando o botão B ou A no controlador enquanto move a raquete, que pode se mover apenas horizontalmente em uma altura fixa. No início de cada vida, o jogador pode reposicionar a raquete antes de soltar a bola e iniciar o jogo. Quando lançada, a bola sempre começará em um ângulo de 45° acima da raquete voltada para o centro. O jogador inicia o jogo com cinco raquetes; cada vez que a bola cai no poço abaixo da raquete, uma raquete é removida e a bola é reiniciada.
Amazing Penguin (World) (Limited Run Games)	&quot;Amazing Penguin&quot; é um jogo de quebra-cabeça para Game Boy lançado pela Natsume em 1991. No jogo, o jogador controla um pinguim chamado Penta, que deve coletar todos os peixes em cada nível para avançar para o próximo. O jogo apresenta mais de 90 fases desafiadoras, cada uma com um layout diferente.
Amazing Spider-Man, The (USA, Europe)	Mary Jane foi sequestrada! Um dos inimigos do Homem-Aranha descobriu sua verdadeira identidade, Peter Parker. Infelizmente para o Aranha, exatamente quem sequestrou Mary Jane é um mistério. Então, você deve guiar o Homem-Aranha por 5 níveis para descobrir onde ela está escondida. Esta versão de 1990 é um jogo de ação side-scrolling. O Homem-Aranha pode usar suas habilidades de fazer teias para se pendurar no teto ou atirar teias como balas, mas a maioria de seus ataques são socos ou chutes. Também estão incluídos dois segmentos de escalada de edifícios com rolagem vertical.
America Oudan Ultra Quiz Part 3 - Champion Taikai (Japan)	O conteúdo é basicamente o mesmo da versão do Super Nintendo &quot;America Oudan Ultra Quiz&quot;, lançada na mesma época, mas além do modo normal, há um modo de campeonato que você pode jogar se concluí-lo.
Amida (Japan) (En)	Amida é um videogame japonês de quebra-cabeça de escalada. O jogo exige que os jogadores naveguem com segurança pelo personagem principal por várias pontes pré-definidas. Cada ponte é composta por vários obstáculos pelos quais o personagem navegará cegamente. O jogador pode utilizar uma plataforma animada para redirecionar o personagem principal enquanto ele se move pelo palco.
Another Bible (Japan) (SGB Enhanced)	Era uma vez uma grande guerra entre os humanos e os demônios. Após batalhas prolongadas, ambos os lados chegaram a um acordo e estabeleceram a paz. Mas agora, as coisas começam a mudar. Um culto demoníaco está se tornando popular e os demônios não desejam mais viver em paz com os humanos. Somente você, o Herói do jogo (sem nome), auxiliado pela Heroína (também sem nome) e outros amigos, é capaz de trazer a paz de volta ao planeta. A heroína tem uma habilidade especial: ela pode falar com os demônios que você encontra em batalhas aleatórias e convencê-los a se juntar ao seu grupo. Você pode armazenar esses demônios, coletá-los e convocá-los em batalhas. Os demônios são divididos em várias raças e espécies. Caso contrário, o jogo usa um combate baseado em turnos padrão com ataques físicos e feitiços mágicos. O jogo faz parte do universo Megaten, mas ao contrário da maioria dos outros jogos Megaten (com exceção da série Last Bible), ele se passa em um mundo medieval.
Asterix & Obelix (Europe) (En,Es) (SGB Enhanced)	Para mostrar a César o poder e a liberdade de sua aldeia, você deve coletar vários troféus de toda a Europa. Para fazer isso, você pode selecionar Asterix ou Obelix e movê-los através de vários níveis enquanto bate em soldados romanos, coleta moedas e evita lacunas ou outros obstáculos. Vários níveis especiais, como cruzar o mar para a Grã-Bretanha de barco (e derrotar alguns romanos novamente) ou libertar jogadores de Rugby capturados pelos romanos, estão espalhados pelo jogo e oferecem variedade entre os níveis clássicos de Jump 'n Run. A maioria dos níveis também tem um limite de tempo para tornar as coisas um pouco mais difíceis, embora a dificuldade do jogo possa ser ajustada.
Asterix (Europe) (En,Fr,De,Es,It)	No ano 50 a. C. toda a Gália é ocupada pelos romanos. Tudo? Não! Uma pequena cidade gaulesa continua a desafiar a invasão, graças a uma poção mágica que os torna invencíveis. Mas agora Obelix desapareceu! O jogador joga Asterix e progride em um jogo de plataforma clássico, derrotando vários inimigos (romanos e animais). O objetivo do jogo é resgatar Obelix, que foi sequestrado por Júlio César.
Asteroids (USA, Europe)	Asteroids é uma conversão do jogo de arcade de mesmo nome. Desempenhe o papel de um piloto de nave espacial preso em uma gigantesca nuvem de asteroides e pulverize os asteroides que chegam com o canhão de fótons da nave. Quando todos os asteroides forem destruídos, o jogador pode prosseguir para a próxima rodada. Além dos asteroides, o jogador também enfrentará discos voadores que disparam aleatoriamente pela tela.
Atomic Punk (USA)	Dynablaster, conhecido como Bomberman na América do Norte, é um jogo de ação e estratégia lançado para Game Boy em 1991 pela Hudson Soft. O jogador controla Bomberman, um personagem que deve eliminar seus inimigos utilizando bombas. O objetivo é explodir obstáculos e inimigos, coletar power-ups para melhorar a velocidade e poder das bombas, e encontrar a porta que leva ao próximo nível. O jogo é bastante desafiador, com inimigos inteligentes e labirintos complexos que exigem estratégia para serem superados. Além do modo para um jogador, Dynablaster também possui um modo de jogo para dois jogadores, com batalhas explosivas no qual os jogadores devem sobreviver até o final. Com gráficos coloridos e uma jogabilidade viciante, Dynablaster é um grande clássico do Game Boy.
Attack of the Killer Tomatoes (USA, Europe)	Attack of The Killer Tomatoes é um videogame de plataforma lançado em 1992 para a Game Boy. O jogo retoma os eventos e personagens da série animada &quot;Tomato War&quot;, ela própria baseada no filme &quot;Return of the Killer Tomatoes&quot;.
Avenging Spirit (USA, Europe)	Em Avenging Spirit, o protagonista é um espírito em busca de vingança. Ele foi assassinado por um grupo de bandidos e sua namorada foi feita refém. Seu pai usa sua nova máquina para chamar o espírito do homem de volta dos mortos, dizendo-lhe que eles estão segurando o resgate de sua filha, a menos que ele entregue sua pesquisa de energia fantasma. No estilo de rolagem lateral, o jogo apresenta seis fases diferentes - a cidade, os telhados, uma fábrica, os esgotos da cidade e dois níveis que lidam com a base de operação dos mafiosos. O jogador é capaz de possuir inimigos, 20 ao todo, e usar quaisquer habilidades ou armas que possua, para completar o nível. A saúde do jogador é representada pela energia fantasma e é drenada quando ele não está dentro de um hospedeiro. A história leva a dois finais diferentes.
Balloon Kid (USA, Europe)	Balloon Kid é um jogo de plataforma de rolagem lateral único. Você controla uma garotinha cujo irmão flutua em um grande monte de balões. Cabe a você persegui-lo por 8 níveis traiçoeiros. Em vez do habitual salto de plataforma em plataforma, tens um par de balões que te permitem flutuar pelo nível. Você deve controlar sua altura cuidadosamente tocando no botão 'A'. Enquanto isso, a tela está sempre rolando para a esquerda e você precisa acompanhá-la. Além da aventura para um jogador, há um modo para 2 jogadores que permite competir contra um amigo por meio do cabo de ligação do Game Boy. Neste modo, você tenta fazer com que seu oponente manobre seu garoto de balão nos vários perigos de nível.
Barbie - Game Girl (USA, Europe)	A boneca Barbie tem de se preparar para o seu encontro com Ken. Mas as suas roupas favoritas estão todas espalhadas por diferentes níveis. Ajude o modelo nesta plataforma Gameboy e recolha cada peça de roupa nos diferentes níveis. Cuidado com os inimigos que vão tentar bloquear o seu caminho. Alguns níveis têm lugar debaixo de água e permitem-lhe dirigir a sereia Barbie.
Bart Simpson's Escape from Camp Deadly (USA, Europe)	Bart e Lisa Simpson foram enviados para o pior acampamento de verão de todos os tempos:O Acampamento Mortal. O acampamento é administrado por Ironfist Burns, que aparentemente é membro da nefasta família de Monty Burns. Bart deve levar os campistas à liberdade, percorrendo vários níveis de rolagem lateral. Bart vai fazer o seu caminho através de uma floresta e um refeitório do acampamento e além antes de alcançar a liberdade. Felizmente, suas armas incluem cuspe e bumerangues.
Baseball (World)	Beisebol é um jogo de arremessar, rebater, arremessar e correr... como em um jogo de beisebol real. O jogador pode escolher entre os modos EUA e Japão, dois times diferentes e entre uma escalação de jogadores únicos. No jogo de 1 jogador, o jogador está contra o computador, e no jogo de 2 jogadores, seu amigo é seu oponente.
Batman - Return of the Joker (USA, Europe)	Batman: Return of the Joker é um jogo de ação/plataforma no Gameboy. O Coringa escapou do Asilo Arkham e cabe a Batman detê-lo mais uma vez. Percorra os diferentes níveis do jogo enquanto coleta bônus para melhorar suas armas e dispositivos.
Batman - The Animated Series (USA, Europe)	Batman: The Animated Series é um jogo de ação no Gameboy. Nesta nova aventura 2D, seu papel será ajudar Batman a lutar contra seus inimigos mais poderosos e perigosos. Você terá que conviver com, entre outros, o Coringa, o Pinguim, o Mr Freeze e a Mulher-Gato. Você também tem a opção de jogar com Robin em certos níveis.
Batman - The Video Game (World)	Batman on Gameboy é um jogo de ação/plataforma inspirado no filme Batman lançado em 1989. Seis níveis estão disponíveis (incluindo dois com fases de tiro), incluindo Gotham City, o Museu Flugelheim e a Catedral. Lute e use os muitos gadgets do Batman para chegar até o Coringa e fazê-lo morder a poeira.
Batman Forever (USA, Europe)	Batman Forever é o jogo oficialmente licenciado baseado no filme de 1995. Os inimigos desta vez são o Charada e o Duas-Caras. Este jogo é um híbrido de plataforma de rolagem lateral e lutador um-a-um. O jogador avança através de níveis que incluem alguns elementos de plataforma de salto, mas enfrenta um oponente de cada vez, como em um jogo de luta. O arsenal do jogador inclui muitos dispositivos de morcego (um deve ser escolhido antes do início do nível) e uma coleção de movimentos de luta que são desencadeados com combinações de botões especiais. Em contraste com a versão para console / DOS, não há quebra-cabeças para resolver.
Battle Arena Toshinden (USA) (SGB Enhanced)	Jogo de luta onde 8 karatekas disponíveis têm suas próprias armas e técnicas. Está presente um modo de torneio que permite enfrentar cada oponente. Seu objetivo final é se tornar o lutador do século enfrentando Gaia.
Battle Bull (USA)	Battle Bull é um emocionante jogo de ação e estratégia desenvolvido para o console Game Boy. Neste jogo, os jogadores são imersos em um mundo futurista, onde robôs gigantes conhecidos como &quot;Bulls&quot; competem ferozmente em batalhas épicas.
Battle of Olympus, The (Europe) (En,Fr,De,Es,It)	Este jogo é muito parecido com &quot;Zelda II: The Adventure of Link&quot;, porém na Grécia antiga. Você joga com Orpheus, cuja namorada Helene, foi sequestrada pelo governante demoníaco do submundo chamado Hades, e assim começa a jornada. Assim como em Zelda II, há um mapa da Grécia de cima para baixo com cidades e outros locais para explorar. Cada um deles tem seções nas quais Orfeu luta contra os adeptos de Hades. Existem vários itens que devem ser obtidos para continuar para o próximo local, incluindo espadas, escudos e cristais. Existem três fragmentos de amor escondidos pelo mapa e Orfeu tem que encontrá-los antes que ele possa entrar no Tártaro e lutar contra Hades para salvar sua amada Helene. Os monstros do jogo também são baseados na mitologia grega e é bem divertido enfrentar ciclopes, minotauros e pégasos.
Battle Pingpong (Japan) (En)	No Battle Ping Pong, o jogador pode lutar contra dez inimigos de IA em um jogo de tênis de mesa. Esses oponentes representam dez países que são retratados com humor, por ex. o atleta dos EUA usa um chapéu de cowboy. O objetivo de um jogo para um jogador é vencer todos eles. Em relação à jogabilidade, o jogador só precisa acertar a bola com o tempo correto e pode realizar alguns movimentos básicos. O jogo é jogado em primeira pessoa: apenas a raquete de tênis de mesa é visível.
BattleCity (Japan) (En)	Battle City é uma versão refinada do antigo jogo de arcade Tank Battalion da Namco. Destrua diferentes tanques inimigos, enquanto tenta mantê-los longe de sua base. Depois de destruir 20 tanques inimigos, você avança para o próximo nível com um layout diferente. Em cada nível há alguns obstáculos que você pode usar a seu favor. Obstáculos incluem tijolos vermelhos que você pode atirar fora do seu caminho, tijolos de prata que são altamente blindados, água e gelo. Você começa o jogo com um tanque básico, que pode melhorar aos poucos. Depois de terminar todos os 35 níveis é desbloqueado um modo de construção, para que você possa criar seus próprios níveis.
Battleship (USA, Europe)	Esta é uma versão shareware do clássico jogo de tabuleiro Battleship de Milton Bradley. Dois jogadores têm uma grade de caixas. Use o mouse para decidir para onde seus navios devem ir e competir para tentar encontrar e afundar os navios de seu oponente. Existe um menu de registro de vitórias que indica quantas vezes você ganhou e quantas vezes perdeu ou empatou. As opções incluem se o jogo tem um tabuleiro de 10 x 10 ou 15 x 15 e permite escolher entre um único tiro ou um tiro de salva, e se você pode usar bombas de fragmentação, mísseis de cruzeiro e bombas inteligentes, e se você pode usar navios recursos ou recursos da frota. Existem níveis de habilidade iniciante, intermediário ou especialista, e você pode decidir quem vai primeiro, com a opção de decidir aleatoriamente.
Battletoads (USA, Europe)	A Dark Queen atacou e sequestrou (ou seria sapoestrou?) seu melhor amigo. Para piorar as coisas, ela pegou a garota mais bonita do mundo! Então o que você vai fazer? Chorar? Espernear? Esconder? Chamar os policiais das estrelas? NÃO! Porque você é um Battletoad! Battletoads não choram, se escondem ou pedem ajuda! E eles certamente não choramingam! Eles ficam BRAVOS e quebram tudo e todos! Então pegue seu blaster, suba no Toadster e vá buscá-los! Você controlará um battletoad através de 13 níveis (cinco dos quais estão faltando no port Game Boy). Alguns são beat-em-ups de rolagem lateral, outros são quedas verticais em um poço, lutando enquanto avança, outros fazem você andar de foguete ou prancha de surfe, atirando ou evitando inimigos. No final de cada área, há um chefe. Em algumas áreas, na metade do caminho, você poderá enfrentar um mini-chefe.
Battletoads in Ragnarok's World (USA)	Pimple e Princesa Angélica são sequestradas pela Dark Queen, enquanto caminhavam juntas. O Professor T. Bird informa aos Battletoads (Zitz e Rash) sobre o ocorrido, para que vão socorrê-los, em sua nave &quot;Vulture&quot;, ao planeta &quot;Ragnarok&quot;, que os leva a uma aventura complexa, onde terão que enfrentar muitos inimigos, em diferentes cenários, até que derrotem Dark Queen e cumpram seu objetivo.
Battletoads-Double Dragon (USA)	A Terra está sob o fogo de Colossus, um navio de guerra do tamanho de uma cidade. Usando poderosos canhões de laser, destruiu a maioria das forças de defesa da Terra, enquanto suas muitas tropas limpam o resto do planeta. Todos esperam por 5 guerreiros. Os Battletoads, que estão bem cientes das forças do mal na galáxia, unem forças com Billy e Jimmy Lee de Double Dragon para defender a Terra da nave mortal e suas tropas. Usando uma variedade de movimentos especiais, você deve abrir caminho pelas ruas até o coração do navio e destruí-lo.
Beavis and Butt-head (USA, Europe)	Beavis and Butt-Head é a adaptação para Gameboy da série animada americana exibida na MTV nos anos 90. Você joga como as duas pessoas e embarca em várias travessuras na escola, no hospital ou em Highland, a cidade fictícia do desenho animado. A vulgaridade, a violência e a estupidez estão sempre presentes, sem esquecer do riso icônico dos doisprotagonistas.
Beetlejuice (USA)	O jogo começa com o jogador a tomar o controlo do Beetlejuice enquanto tenta livrar-se de todos os fantasmas que convidou para a casa de Lydia Deetz (onde vive com a sua mãe e o seu pai). Usando magia bio-exorcista, os jogadores devem derrotar os mortos-vivos em todo o cemitério e mesmo dentro do Norworld. Os jogadores também podem montar um carrinho de mina e uma cobra Pogosnake (que funciona de forma semelhante a Yoshi do Super Mario World). O tema do jogo é bastante sombrio (explorar o reino dos fantasmas).
