#name	crc	size	key
007 - Everything or Nothing (Japan)	caf2e99f	8388608	007 - Everything or Nothing (USA, Europe) (En,Fr,De)
007 - Everything or Nothing (USA, Europe) (En,Fr,De)	9d4f1e18	8388608	007 - Everything or Nothing (USA, Europe) (En,Fr,De)
007 - NightFire (USA, Europe) (En,Fr,De)	56c83c16	8388608	007 - NightFire (USA, Europe) (En,Fr,De)
2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)	c8cdb4ed	33554432	2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)
2 Disney Games - Lilo & Stitch 2 + Peter Pan - Return to Neverland (Europe) (En,Fr,De,Es+En,Fr,De,Es,It,Nl)	75703943	16777216	2 Disney Games - Lilo & Stitch 2 + Peter Pan - Return to Neverland (Europe) (En,Fr,De,Es+En,Fr,De,Es,It,Nl)
2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe)	20929ec1	16777216	2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe)
2 Game Pack! - Matchbox Missions - Emergency Response & Air, Land and Sea Rescue (Europe) (En,Fr,De,Es,It)	0a907f58	4194304	2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)
2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)	4080aac1	4194304	2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)
2 Game Pack! - Uno & Skip-Bo (Europe) (En,Fr,De,Es,It)	e2018633	4194304	2 Game Pack! - Uno + Skip-Bo (USA)
2 Game Pack! - Uno + Skip-Bo (USA)	0e2af604	4194304	2 Game Pack! - Uno + Skip-Bo (USA)
2 Games in 1 - Alla Ricerca di Nemo + Gli Incredibili - Una 'Normale' Famiglia di Supereroi (Italy) (Es,It+It)	9ea46982	16777216	2 Games in 1 - Finding Nemo + The Incredibles (Europe)
2 Games in 1 - Bionicle + Knights' Kingdom (Europe) (En,Fr,De,Da+En,De)	d720bdca	16777216	2 Games in 1 - Bionicle + Knights' Kingdom (Europe) (En,Fr,De,Da+En,De)
2 Games in 1 - Brother Bear + The Lion King (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)	9e5f961b	16777216	2 Games in 1 - Brother Bear + The Lion King (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)
2 Games in 1 - Buscando a Nemo + Los Increibles (Spain) (Es,It+Es)	d7ac0697	16777216	2 Games in 1 - Finding Nemo + The Incredibles (Europe)
2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway (USA)	b3d323e4	8388608	2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway (USA)
2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es)	0beaa2f4	16777216	2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es)
2 Games in 1 - Die Monster AG + Findet Nemo (Germany)	4fd20e32	16777216	2 Games in 1 - Monsters, Inc. + Finding Nemo (USA)
2 Games in 1 - Disney Princesas + El Rey Leon (Spain) (Es+En,Fr,De,Es,It,Nl,Sv,Da)	6472ac25	16777216	2 Games in 1 - The Lion King + Disney Princess (Europe) (En,Fr,De,Es,It,Nl,Sv,Da+En)
2 Games in 1 - Disney Princesas + Hermano Oso (Spain) (Es+En,Fr,De,Es,It,Nl,Sv,Da)	01b143a9	16777216	2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)
2 Games in 1 - Disney Princesas + Lizzie McGuire (Spain)	57f886b0	16777216	2 Games in 1 - Disney Princess + Lizzie McGuire (Europe)
2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)	34355326	16777216	2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)
2 Games in 1 - Disney Princess + Lizzie McGuire (Europe)	99c96067	16777216	2 Games in 1 - Disney Princess + Lizzie McGuire (Europe)
2 Games in 1 - Disney Princesse + Frere des Ours (France) (Fr+En,Fr,De,Es,It,Nl,Sv,Da)	22c54ae1	16777216	2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)
2 Games in 1 - Disney Princesse + Le Roi Lion (France) (Fr+En,Fr,De,Es,It,Nl,Sv,Da)	cce9c2e2	16777216	2 Games in 1 - The Lion King + Disney Princess (Europe) (En,Fr,De,Es,It,Nl,Sv,Da+En)
2 Games in 1 - Disney Principesse + Il Re Leone (Italy) (It+En,Fr,De,Es,It,Nl,Sv,Da)	a4acba4a	16777216	2 Games in 1 - The Lion King + Disney Princess (Europe) (En,Fr,De,Es,It,Nl,Sv,Da+En)
2 Games in 1 - Disney Principesse + Koda, Fratello Orso (Italy) (It+En,Fr,De,Es,It,Nl,Sv,Da)	458dedb1	16777216	2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)
2 Games in 1 - Disneys Prinzessinnen + Baerenbrueder (Germany) (De+En,Fr,De,Es,It,Nl,Sv,Da)	52c8a11f	16777216	2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)
2 Games in 1 - Disneys Prinzessinnen + Der Koenig der Loewen (Germany) (De+En,Fr,De,Es,It,Nl,Sv,Da)	ad82cb84	16777216	2 Games in 1 - The Lion King + Disney Princess (Europe) (En,Fr,De,Es,It,Nl,Sv,Da+En)
2 Games in 1 - Dr. Mario + Puzzle League (Europe) (En,Fr,De,Es,It)	fb7a7567	8388608	2 Games in One! - Dr. Mario + Puzzle League (USA)
2 Games in 1 - Dragon Ball Z - The Legacy of Goku I & II (USA)	ace78c4f	16777216	2 Games in 1 - Dragon Ball Z - The Legacy of Goku I & II (USA)
2 Games in 1 - Findet Nemo + Die Unglaublichen (Germany)	5db86e1c	16777216	2 Games in 1 - Finding Nemo + The Incredibles (Europe)
2 Games in 1 - Findet Nemo + Findet Nemo - Das Abenteuer Geht Weiter (Germany) (De+Fr,De,Nl)	60a35c6e	16777216	2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Fr,Nl+Fr,De,Nl)
2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (En+En,Es,It,Sv,Da)	72d5f428	16777216	2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Fr,Nl+Fr,De,Nl)
2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Es,It+En,Es,It,Sv,Da)	73444273	16777216	2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Fr,Nl+Fr,De,Nl)
2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Fr,Nl+Fr,De,Nl)	2e5eda0d	16777216	2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Fr,Nl+Fr,De,Nl)
2 Games in 1 - Finding Nemo + The Incredibles (Europe)	9702abce	16777216	2 Games in 1 - Finding Nemo + The Incredibles (Europe)
2 Games in 1 - Finding Nemo + The Incredibles (Europe) (Fr,Nl)	2d4d69fa	16777216	2 Games in 1 - Finding Nemo + The Incredibles (Europe)
2 Games in 1 - Finding Nemo - The Continuing Adventures + The Incredibles (USA)	d5a37aa8	16777216	2 Games in 1 - Finding Nemo - The Continuing Adventures + The Incredibles (USA)
2 Games in 1 - Golden Nugget Casino + Texas Hold 'em Poker (USA)	6f88e088	8388608	2 Games in 1 - Golden Nugget Casino + Texas Hold 'em Poker (USA)
2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race (Europe)	b3c2cf9f	16777216	2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race (USA)
2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race (USA)	a440a760	16777216	2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race (USA)
2 Games in 1 - Les Razmoket Rencontrent les Delajungle + SpongeBob SquarePants - SuperSponge (France) (Fr+En)	b3bb9a45	8388608	2 Games in 1 - Rugrats - Go Wild + SpongeBob SquarePants - SuperSponge (Europe)
2 Games in 1 - Monsters & Co. + Alla Ricerca di Nemo (Italy) (En,Fr,It+Es,It)	06715995	16777216	2 Games in 1 - Monsters, Inc. + Finding Nemo (USA)
2 Games in 1 - Monsters en Co. + Finding Nemo (Netherlands) (En,Es,Nl+Fr,Nl)	8f66cad4	16777216	2 Games in 1 - Monsters, Inc. + Finding Nemo (USA)
