#key	style	ss_system_id
007 - Everything or Nothing (USA, Europe) (En,Fr,De)	box-2D	12
007 - NightFire (USA, Europe) (En,Fr,De)	box-2D	12
2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)	box-2D	12
2 Disney Games - Lilo & Stitch 2 + Peter Pan - Return to Neverland (Europe) (En,Fr,De,Es+En,Fr,De,Es,It,Nl)	box-2D	12
2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe)	box-2D	12
2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)	box-2D	12
2 Game Pack! - Uno + Skip-Bo (USA)	box-2D	12
2 Games in 1 - Bionicle + Knights' Kingdom (Europe) (En,Fr,De,Da+En,De)	box-2D	12
2 Games in 1 - Brother Bear + The Lion King (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)	box-2D	12
2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway (USA)	box-2D	12
2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es)	box-2D	12
2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)	box-2D	12
2 Games in 1 - Disney Princess + Lizzie McGuire (Europe)	box-2D	12
2 Games in 1 - Dragon Ball Z - The Legacy of Goku I & II (USA)	box-2D	12
2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Fr,Nl+Fr,De,Nl)	box-2D	12
2 Games in 1 - Finding Nemo + The Incredibles (Europe)	box-2D	12
2 Games in 1 - Finding Nemo - The Continuing Adventures + The Incredibles (USA)	box-2D	12
2 Games in 1 - Golden Nugget Casino + Texas Hold 'em Poker (USA)	box-2D	12
2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race (USA)	box-2D	12
2 Games in 1 - Monsters, Inc. + Finding Nemo (USA)	box-2D	12
2 Games in 1 - Moto GP + GT Advance 3 - Pro Concept Racing (Europe) (En,Fr,De,Es,It+En)	box-2D	12
2 Games in 1 - Power Rangers - Ninja Storm + Power Rangers - Time Force (USA) (En,Fr,De+En)	box-2D	12
2 Games in 1 - Quad Desert Fury + Monster Trucks (USA)	box-2D	12
2 Games in 1 - Rugrats - Go Wild + SpongeBob SquarePants - SuperSponge (Europe)	box-2D	12
2 Games in 1 - Scooby-Doo + Scooby-Doo 2 - Monsters Unleashed (USA)	box-2D	12
