#key	synopsis
007 - Everything or Nothing (USA, Europe) (En,Fr,De)	Der Spieler denkt, fühlt und handelt wie Bond! In diesem intensiven Third-Person-Action-Abenteuer der Superlative hat der Spieler die totale Kontrolle über den besten Geheimagenten der Welt! Aber von wegen mal eben die Welt retten! In allen Extremsituationen - und die sind der Bond-Normalzustand - gilt es, die richtige Entscheidung zu treffen. Sich dem Fight stellen mit dem neuen Kampfsystem? Oder tarnen, täuschen und mit dem Q-Seil aus dem Q-Lab spektakulär abseilen? Oder rein in die Charmeoffensive? Um die anspruchsvollen Missionen an den exotischen Schauplätzen erfolgreich abzuschließen, heißt es permanent hellwach sein. Besonderer Clou: Das Game ist mit Pierce Brosnan als Bond, John Cleese als Q, Willem Dafoe als Widersacher und der zauberhaften Heidi Klum als hinterhältige Katya Nadanova absolut topbesetzt. Zusätzlich sorgen die Gestalt und Original-Synchronstimme von Pierce Brosnan sowie die neuen, atemberaubenden Bond-Girls für prickelndes Bond-Feeling.
007 - NightFire (USA, Europe) (En,Fr,De)	Hast Du das Zeug, Bond zu sein? Eine völlig neue Storyline mit Pierce Brosnan als James Bond. An 7 exotischen Schauplätzen triffst du sowohl auf verführerische Schönheiten als auch auf böse Schurkenh. Rete die Welt mit einem Arsenal aus mehr als 15 Geräten und Waffen. 9 actiongeladene Missionen mit Kämpfen, Tarnmanövern und aufrüstbaren Geräten.
2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)	&quot;2 Disney Games&quot; enthält &quot;Disney Sports Skateboarding&quot;, in dem Mickey und seine Freunde Dich zu phantastischen Skateboarding Aktionen erwarten, und &quot;Disney Sports Fußball&quot; - hier spielst Du mit Mickey und seinen Freunden in einem farbenfrohen, schnellen Fußballspiel voller Spaß und Action.
2 Disney Games - Lilo & Stitch 2 + Peter Pan - Return to Neverland (Europe) (En,Fr,De,Es+En,Fr,De,Es,It,Nl)	Diese Zusammenstellung enthält zwei Disney GBA Spiele auf einer Kassette: Disneys Lilo & Stitch 2 Disneys Peter Pan: Return to Never Land Disneys Lilo & Stitch 2: Spiele als Stitch sowohl als Lilo, um Nina und David zu retten, die vom bösen Hamsterviel entführt und an Bord seines Raumschiffs genommen wurden. Um die Sache zu verkomplizieren, schuf Hamsterviel böse außerirdische Experimente, die sich mit unseren Helden messen. Beginne damit jedes Experiment fangen und seine besondere Kraft nutzen, um Fortschritte zu erzielen und um das nächste zu fangen. Sparky, Experiment 22, hilft dir mit seinen mächtigen Elektrizitätskugeln, während Richter, Experiment 513, die Dinge durch das Zünden eines Erdbebens aufrüttelt. Zu den Spielmodi gehören Plattformschießen als Stich, Navigation und Strategie als Lilo, intensives Rennen und einen Mehrspielermodus.
2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe)	Hot Wheels - Stunt Track Challenge ist ein Stuntman Arcade-Spiel, bei dem die Fahrer in Stunt-Challenges gegeneinander antreten und schnelle Rennen gewinnen müssen, um im Wettkampf zu bleiben. Manchmal gibt es Minispiele mit speziellen Aufgaben, bei denen es meist darum geht, in einer begrenzten Zeit Gegenstände zu sammeln. Der Spielablauf von Hot Wheels - World Race ähnelt dem vieler anderer Rennspiele. Die Spieler können in der Luft spezielle Tricks ausführen, die dem Auto des Spielers zusätzlichen Schub verleihen. Das Sammeln von Goldringen erhöht ebenfalls den Boost.
2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)	Steuer einen Feuerwehrhubschrauber oder ein Wasserpolizeipatrouillenboot. Sei ein lebensrettender Sanitäter, der ins Krankenhaus rast! Rette Menschen vor Bränden und Hochwasser und rette den Tag! Wirst du ein Held sein, wenn du den Anruf bekommst? Spielen Sie entweder als Polizei oder als Verdächtiger in diesem großartigen Verfolgungsspiel in MATCHBOX County. Vier verschiedene Gelände bieten eine abwechslungsreiche und farbenfrohe Kulisse für diese unterhaltsame und aufregende 3D-Verfolgung!
2 Game Pack! - Uno + Skip-Bo (USA)	Sei der erste Spieler oder gehören Sie zum ersten Team, das in diesem klassischen Familienspiel 500 Punkte erzielt! Spiele deine Karten aus, indem Sie Farbe, Zahl oder Wort mit der obersten Karte des Ablagestapels vergeichts. Wenn du nur noch eine Karte hast, heist es Uno! Skip-Bo kombiniert Geschicklichkeit, Strategie und Spaß in einem Spiel, das die ganze Familie zusammen spielen kann! Sei der Erste, der alle Karten in numerischer Reihenfolge aus Ihrem Vorrat spielt, um zu gewinnen.
2 Games in 1 - Bionicle + Knights' Kingdom (Europe) (En,Fr,De,Da+En,De)	LEGO Knights Kingdom: Nachdem der Dunkle Ritter ihr Königreich erobert hat, macht sich eine eingeschworene Heldengruppe auf den langen und gefährlichen Weg, um den magischen Schutzschild der Zeitalter zu finden. In LEGO Knights Kingdom kannst du zu einem der vier legendären Ritter werden und den einzigen Gegenstand auf der Welt finden, mit dem der Dunkler Ritter besiegt werden kann! Nur du und deine Begleiter können es noch schaffen, dem Königreich die Freiheit zurückzugeben. LEGO Bionicle: Die Bestie Makuta hat das paradiesische Inselreich Mata Nui in einen Ort der Finsternis und des Schreckens verwandelt. Hilf den mächtigen Toa, deinen Helden, in einem epischen Kampf zwischen Gut und Böse zu bestehen. Auf deiner Reise durch die sechs Wahi, die Gegenden der Insel Mata Nui, musst du die Matoran, die Inseleinwohner, nach und nach befreien und die finsteren Lakaien Makutas bezwingen, welche die Insel in Schrecken halten. Hast du den Mut im finalen Kampf auf den Furcht erregenden Makuta höchstpersönlich zu treffen und zur Legende von Mata Nui zu werden?
2 Games in 1 - Brother Bear + The Lion King (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)	Bärenbrüder Bärenbrüder für den Game Boy Advance ist ein Plattform-Sidescrolling-Spiel mit leichten Puzzle-/Abenteuerelementen, das die Geschichte und die Interaktionen der Charaktere des gleichnamigen Disney-Zeichentrickfilms aufgreift. Erforsche über 15 detaillierte Levels, während Kenai und Koda sich auf eine spannende Suche nach ihrem Schicksal begeben. Der König der Löwen Erlebe mit dem Erdmännchen Timon und dem Warzenschwein Pumbaa lustige Abenteuer auf der Suche nach ihrem Hakuna Matata! Mit tollen Filmausschnitten aus Disneys Der König Der Löwen 3.
2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es)	Columns Crown: Prinzessin Dazzle hat überall nach den fehlenden magischen Edelsteinen gesucht, die die Säulenkrone ausfüllen. Du musst ihr helfen, sie aus einer Gruppe von Walddieben zu bergen, indem du jedes Rätsel schlägst, um die verborgenen Edelsteine freizuschalten! Kannst du sie alle sammeln und die Krone vervollständigen? Rasende Multiplayer-Action voller verheerender Spezialattacken. Sammle magische Edelsteine, um spektakuläre Elementarangriffe auszulösen. Neue Survival-, Versus- und Flash-Spaltenmodi. Chuchu Rocket!: Die ChuChus, kleine Mäuschen, leben glücklich und zufrieden, bis eines Tages KapuKapus, die Weltraumkatzen, auf dem Planeten landen. So viel zur Story. Die Aufgabe des Spielers ist es nun, seine Mäuschen sicher in die bereit gestellten Raketen zu befördern, und dabei keine der Katzen an Bord zu lassen. Zu diesem Zweck stehen ihm lediglich ein paar Pfeile zur Verfügung, die er den ChuChus in den Weg legt, damit sie ihnen folgen. Aber Vorsicht: die KapuKapus benutzen diese Pfeile ebenfalls!
