#key	synopsis
007 - Everything or Nothing (USA, Europe) (En,Fr,De)	Unlike the previous GameBoy title Nightfire, Everything or Nothing is a third person action game. Players control the action across a number of locations including Peru, Russia, and a space station. The game also includes three driving levels similar to the original Spy Hunter to split up the action. Pilot 007's Aston Martin to take down the baddies. Using an array of weapons like the Walther P99 and Mac 10 as well as the always ready Bond gadgets like Q-Rappel and Holo-Puck, 007 once again saves the world from destruction. When the player has finished the single player campaign, he or she can link up with up to three of their friends and battle it out in the multiplayer mode. The GameBoy version can also be linked into the GameCube to access additional content
007 - NightFire (USA, Europe) (En,Fr,De)	The Game Boy Advance received its own version of Electronic Arts' original James Bond adventure Nightfire a few months after the game's release on consoles and PCs. Sharing the storyline (Bond must stop megalomaniacal industrialist Raphael Drake from achieving world domination) and general gameplay concept (first-person shooter), this version adapts a selection of levels from the other versions for the handheld's capabilities. The player must navigate 007 through nine objective-based levels, mixing action and stealth in exotic locales like an Austrian castle, corporate towers in Tokyo and a South Pacific island. To defeat the enemy goons, a variety of guns including pistols, automatics, and a sniper rifle, are available. In some missions, heavier hardware like rocket and grenade launchers as well as explosive charges must be found to overcome special adversaries. Of course, no Bond game would be complete without a few of Q's gadgets like a wristwatch laser or a cellphone grapple, usually to be used when Bond's spy qualities are called upon.
2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)	Disney Sports Football is a sport game. As the title might suggest, this is a football game that takes place in the Disney world. You will be able to play with your favorite characters. Disney Sports Skateboarding is a skateboard game. Play as Mickey or one of his famous friends in the 10 levels this app offers. You can also ride with a friend in two-player mode.
2 Disney Games - Lilo & Stitch 2 + Peter Pan - Return to Neverland (Europe) (En,Fr,De,Es+En,Fr,De,Es,It,Nl)	This compilation contains two Disney GBA games combined on one cartridge: Disney's Lilo & Stitch 2 Disney's Peter Pan: Return to Never Land Disney's Lilo & Stitch 2: Play as both Stitch and Lilo to rescue Nina and David, who have been kidnapped by the evil Hamsterviel and taken onboard his spaceship. To complicate things, Hamsterviel created evil alien Experiments that go head-to-head with our heroes. Start by capturing each Experiment and harnessing its special power in order to progress and capture the next. Sparky, Experiment 22, helps you out with his powerful electricity balls, while Richter, Experiment 513, shakes things up by igniting an earthquake. Gameplay modes include platform-shooting as Stitch, navigation and strategy as Lilo, intense racing, and multiplayer mode. Disney's Peter Pan: Return to Never Land: Tinker Bell has been kidnapped and Pan needs her magical powers to fly! Can you help him defeat Captain Hook and rescue Tinker Bell before time runs out? Soar in all directions, hover, and attack while flying! Combine flying techniques with fighting moves for aerial acrobatics that will kick some serious pirate booty! Explore London, Captain Hook's Pirate Ship, Skull Rock, and more!
2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe)	Hot Wheels - Stunt Track Challenge is a stuntman style arcade game that consists of drivers competing in stunt challenges and winning fast races to stay on the show. Sometimes, there are mini-games with special tasks, usually involving collecting icons in a limited amount of time. The gameplay of Hot Wheels - World Race is similar to many other racing games. Players can do special tricks when in the air, which adds on to the players' car's boost. Collecting gold rings also increases the boost.
2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)	Pilot a Fire Department Helicopter or a Marine Patrol Police Boat. Be a life-saving Paramedic racing to the hospital! Rescue people from raging fires and rising waters, and save the day! When you get the call, will you be a hero? Play as either a Police or Suspect in this great chase game set in MATCHBOX County. Four different terrains provide a varied and colorful backdrop to this fun and exciting 3D pursuit!
2 Game Pack! - Uno + Skip-Bo (USA)	Be the first player or be on the first team to score 500 points in this classic family game! Play your cards by matching color, number or word with the top card of the discard pile. When you have one card left, it's Uno! Skip-Bo combines skill, strategy, and fun in a game that the whole family can play together! Be the first to play all of the cards in numerical sequence from your stockpile to win.
2 Games in 1 - Bionicle + Knights' Kingdom (Europe) (En,Fr,De,Da+En,De)	2 Games in 1: LEGO Knight's Kingdom + LEGO Bionicle was a video game compilation released in 2005 exclusively for the Nintendo Gameboy Advance. This includes the Gameboy Advance versions of LEGO Knights' Kingdom (game) and Bionicle: The Game. Both games were developed by Razorback Developments and published by THQ. There is one game cartridge with both games programmed in it to play, with a screen at the start to choose either title. Both games play the same as their original releases. The game can be played in English and German.
2 Games in 1 - Brother Bear + The Lion King (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)	Two games in one cartridge : Brother Bear (Follow the story of the popular Disney movie as you control Kenai and Koda, both separately and together, in this action-packed adventure. Discover hidden mini-game activities and bonus items in this graphically rich and varied world based on the locations seen in the movie) and The Lion King (Timon and Pumbaa are back for an all new adventure that takes place during the original The Lion King movie, although from the point of view of the two animal goons. Choose either character, or play a team game with another player, to complete the various levels based on events from the original movie, with various challenges to complete. The game also features film clips from the Disney movie of the same name, which ties in the adventures of Timon and Pumbaa with the original story of Simba and his quest to regain the kingdom of Pride Rock from Scar)
2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway (USA)	This double pack has two Cartoon Network GBA games combined on one cartridge: Cartoon Network Block Party: Cartoon Network Block Party is a party game that keeps the game play fast and fun on the Game Boy Advance. Play as any of 6 characters from your favorite Cartoon Network cartoon properties: Johnny Bravo, Courage the Cowardly Dog, Cow and Chicken and Ed, Edd n Eddy. Challenge up to 3 friends on 4 colorful themed boards, each styled after Cartoon Network shows: Planet Johnnywood, Katz's Creepy Castle, The Tater Farm and Extreme Cul-De-Sac.
2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es)	This double pack is a compilation of two Sega games, previously released individually for the GBA: Columns Crown ChuChu Rocket!
2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)	Brother Bear allows players to play as Kenai and Koda, individually or as a team, as they go on an adventure that follows the beats of the film. The game features elements such as spectacular weather effects and cut-scenes from the film which will bring alive the world of Brother Bear. With four worlds, 16 levels and unlockable bonus games, Disney's Brother Bear for the GBA is a game of epic proportions. & Disney Princess follows the adventures of six classic female characters from Disney's animated films, including Snow White, Belle, Cinderella, Ariel, Jasmine, and Aurora. The game is structured in the same manner as the book Disney's Princess Collection: Love and Friendship Stories, where each character has a separate storyline and explores settings inspired by her respective film. Snow White, for example, must rescue her friends while journeying through the dark woods and mines on her way to confronting the Evil Witch. Aurora of Sleeping Beauty embarks on a quest to release three fairies trapped somewhere within a castle ruled by the powerful Maleficent.
2 Games in 1 - Disney Princess + Lizzie McGuire (Europe)	Two games in one cartridge : Disney Princess Play as Snow White, Cinderella, Ariel, Sleeping Beauty, Belle, and Jasmine searching for the magical tiara of friendship as you make dreams come true. Lizzie McGuire Lizzie McGuire is a collection of mini-games around the heroine of the Disney series. The cartridge also has a PDA function to organize your week.
2 Games in 1 - Dragon Ball Z - The Legacy of Goku I & II (USA)	Embark on an incredible journey to protect the Universe from evil. Guide the fate of the mightiest warrior known - GOKUÂ® - from the Saiyan Saga to the Cell Games. Use combat strategies to defeat arch enemies, including Frieza, the Androids and Perfect Cell!
2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Fr,Nl+Fr,De,Nl)	This pack contains two underwater adventures inspired by the beloved Disney/Pixar films. Finding Nemo Relive the exciting story of the hit movie in this action-adventure game. Play as Marlin, Dory, and Nemo to navigate perilous waters and solve puzzles. Finding Nemo: The Continuing Adventures The story continues after the original film, as the formerly captive &quot;Tank Gang&quot; of the dentist's office have finally made it to the ocean. Now it's up to you to help them find their way to their new homes.
2 Games in 1 - Finding Nemo + The Incredibles (Europe)	Two games in one cartridge : Finding Nemo (The game's 12 levels follow the plot of the film. Depending on the level, the player either controls clownfish Marlin or his son Nemo. Goals in the levels might include simply finding the exit, finding certain characters or items, reaching a certain point within a time limit, or simple survival, like when Marlin and his friend Dory are chased by Bruce the shark) and The Incredibles (In the game based on the movie of the same name, you take control of Mr. Incredible when he is summoned to the island of Nomanisan for a secret assignment. The GBA version is a side-scrolling 2D beat-em-up. Initially, you can only play as Mr. Incredible but the other members of the family, along with Frozone, are playable in the later levels. The main buttons are used for basic attacks, combos and jumps, and the R button triggers special abilities known as &quot;incredi-moves&quot;. Each member has a different special move: Mr. Incredible gets super strength, Dash runs faster, Violet has a force field and becomes invisible, and Helen can extend her arms. Using these depletes an additional meter on the screen. It is recharged by collecting icons and defeating enemies).
2 Games in 1 - Finding Nemo - The Continuing Adventures + The Incredibles (USA)	The Incredibles - These are your powers. Bombs. Bullets. Robots. Lasers. Your enemy controls them all. The only way to survive being the Incredibles is to truly be incredible. Finding Nemo - The Tank Gang have managed to escape from the dentist's office! Help Nemo, Dory, Marlin, Bruce, Crush, and Squirt get them to their new homes in the ocean. Revisit all your friends from Disney/Pixar's Finding Nemo.
2 Games in 1 - Golden Nugget Casino + Texas Hold 'em Poker (USA)	Double Game!: Golden Nugget Casino & Texas Hold 'Em Poker is a compilation of gambling games developed by Majesco (Golden Nugget Casino) and Skyworks Interactive (Texas Hold 'Em) and was published by Majesco for Game Boy Advance.
2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race (USA)	Hot Wheels: Velocity X Drive like you've never imagined - Pull off wild, gravity-defying stunts! - Drive over 30 authentic Hot Wheels cars! Hot Wheels: World Race Compete to be the world's greatest driver in the most intense race ever created - the Highway 35
2 Games in 1 - Monsters, Inc. + Finding Nemo (USA)	With this compilation, you get two games based on animated films by Disney and Pixar. Now you can help reunite the young clownfish Nemo with his father, or you can relive all the adventures of monsters Mike and Sully.
2 Games in 1 - Moto GP + GT Advance 3 - Pro Concept Racing (Europe) (En,Fr,De,Es,It+En)	A double pack by THQ containing two racing GBA games combined on one cartridge: GT Advance 3: Pro Concept Racing MotoGP: Ultimate Racing Technology
2 Games in 1 - Power Rangers - Ninja Storm + Power Rangers - Time Force (USA) (En,Fr,De+En)	Two games in one cartridge : Power Rangers Ninja Storm (Power Rangers Ninja Storm is a collection of mini-games made to commemorate the (then) new series. Each mini-game is controlled by using a mouse and has 3 levels before it's considered as completed. After choosing a Ranger to play as, there are 6 mini-games for players to go through) and Power Rangers Time Force (The color costumed team of teen heroes travels through both space and time to thwart occurrences of evil throughout history in this Game Boy Advance release from THQ. The Power Rangers move back and forth through time to stop evil and keep the future safe in over 15 levels of play. Each character has unique combat abilities and the game features a Megazord battle mode as well. The story is advanced through comic book styled cut scenes and a password feature allows gamers to save their progress between sessions).
2 Games in 1 - Quad Desert Fury + Monster Trucks (USA)	In Monster Trucks / Quad Desert Fury Double Pack, you can race in a monster truck or all-terrain vehicles. Monster Trucks challenges you to take your scrap ride all the way through arena competitions in the effort to become the best on the circuit. Quad Desert Fury lets you hit the trails in a 3D simulation of off-road ATV racing.
2 Games in 1 - Rugrats - Go Wild + SpongeBob SquarePants - SuperSponge (Europe)	Hoppin' Clams! SpongeBob wants to give his friend Patrick Star an autograph from their favorite superheroes Mermaid Man and Barnacle Boy, for his birthday. Help SpongeBob fulfill the quest to win their autographs! & The Rugrats are on a vacation of a lifetime, but when their ship sinks and leaves then stranded on a desert island, Tommy Pickles knows there is only one man who can save them, Nigel Thornberry.
2 Games in 1 - Scooby-Doo! - Mystery Mayhem + Scooby-Doo and the Cyber Chase (USA) (En,Fr,De+En)	In Scooby-Doo! Mystery Mayhem, the player controls Shaggy and Scooby-Doo as they progress through five levels, solving mysteries for Mystery Inc. Shaggy and Scooby get to switch places when the player wants to play either as Shaggy or Scooby, find a clue then report it to Velma and can defeat certain monsters, using the Tome of Doom. In Scooby-Doo and the Cyber Chase, the gang find themselves in cyberspace. A new villain called the Phantom Virus must be stopped. Scooby and Shaggy must go through various levels to defeat him and his evil villains. Fred, Daphne, and Velma help Scooby and Shaggy to overcome obstacles by giving them important game playing moves and tips via Velma's handheld communication device.
2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es)	Two games in one cartridge : Sonic Advance Sonic the Hedgehog has arrived for his first ever adventure on a Nintendo console. Sonic Advance combines elements from the original Sonic series on Sega's Genesis, as well as from the Dreamcast Sonic Adventure series. Chuchu Rocket! ChuChu Rocket is an action puzzler, designed predominantly as a multi-player game. You have indirect control over mice, and must guide them to the safety of a rocket, and away from a cat. You do this by placing arrows on the ground, which they will follow. The multi-player game is a frantic all-against-all duel, in which each player's mice will only follow instructions of their own colour. You can play this mode on your own against CPU opponents, or take on a series of predefined puzzles
2 Games in 1 - Sonic Advance + Sonic Battle (Europe) (En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It)	Two games in one cartridge : Sonic Advance Sonic the Hedgehog has arrived for his first ever adventure on a Nintendo console. Sonic Advance combines elements from the original Sonic series on Sega's Genesis, as well as from the Dreamcast Sonic Adventure series. Sonic Battle Sonic Battle is a fast paced pseudo-fighting game, akin to Super Smash Brothers from Nintendo. Rather than being 3D side-scrolling, this game employs a 3D isometric view- not a static, sprite-based field though, it is comprised of actual texture-mapped polygons.
2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es)	Double Pack: Sonic Advance: Sonic is back to save the world! The evil Dr. Eggman is at it again, with a brand new scheme to trip up Sonic and his pals. Maneuver your way through obstacles, puzzles and traps to collect the chaos emeralds and defeat the vile Dr. Eggman before it's too late! ChuChu Rocket!: ChuChu Rocket. exclusive to the Dreamcast, offers a new on-line gaming experience in the form of a 4-player, adrenaline paced puzzle game. You can enjoy this wildly addictive game with friends, in the confines of your home, or over the Internet against complete strangers! Just lead the mice to a rocket while protecting them from the vicious cats along the way. ChuChu Rocket! - the concept is simple but the challenge is never ending...
2 Games in 1 - Sonic Battle + Sonic Pinball Party (Europe) (En,Ja,Fr,De,Es,It)	Two Sonic games in one cartridge : Sonic Pinball Party (the second Sonic Pinball game since Sonic Spinball in the early 90's. The game has an arcade mode, a tutorial mode, and a vs mode (party mode). In the game the game has pinball tables of famous Sonic Team characters such as Nights, Samba de Amigo, and of course SONIC! The story mode of the game is the usual type of story, Robotnik steals animals visiting Casinopolis, and is going turn into his Robotic slaves. Of course, Sonic is going to try and stop him. Before he does, he has to win a pinball competition and during the game you unlock prizes. The competition is set out as a knockout format. The game also has a Casinopolis mode, which has Casino games like Roulette. There is also a chao garden, just like in the Sonic Advance games) and Sonic Battle (Sonic Battle is a fast paced pseudo-fighting game, akin to Super Smash Brothers from Nintendo. Rather than being 3D side-scrolling, this game employs a 3D isometric view- not a static, sprite-based field though, it is comprised of actual texture-mapped polygons).
2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En)	Two games in one cartridge : Sonic Pinball Party Sonic Pinball Party is the second Sonic Pinball game since Sonic Spinball in the early 90's. The game has an arcade mode, a tutorial mode, and a vs mode (party mode). In the game the game has pinball tables of famous Sonic Team characters such as Nights, Samba de Amigo, and of course SONIC! Columns Crown Princess Dazzle, on the verge of becoming the Queen of the land, has entrusted you to find the missing gems from the Columns Crown, the symbol of her sovereignty.
2 Games in 1 - SpongeBob SquarePants - Battle for Bikini Bottom + Jimmy Neutron Boy Genius (Europe) (En,Fr,De+En,Fr,De,Es)	In an effort to cause the kind of global mayhem he has always dreamed of, the evil Plankton has set in motion his most diabolical plot ever to take over the world. The fate of Bikini Bottom has been put in the hands (or small tentacles) of three unsuspecting heroes. Put your platform skills to the test as SpongeBob, Patrick, or Sandy Cheeks, with an array of insane new maneuvers and power-ups at your disposal. Explore a huge 3D world, encounter familiar friends, and finally put an end to Plankton's evil scheme. & Jimmy Neutron Boy Genius has gotten himself in a completely new world of trouble, or should we say &quot;new dimension of trouble?&quot; In The Adventures of Jimmy Neutron, Boy Genius: Jimmy Neutron Vs Jimmy Negatron, Jimmy accidentally warps himself into a parallel dimension, switching places with his evil alter ego - Jimmy Negatron! With Jimmy Negatron running loose in Retroville, Jimmy Neutron will need all of his inventions and smarts to figure a way back home, save his friends, and restore his town back to normal!
2 Games in 1 - SpongeBob SquarePants - Battle for Bikini Bottom + Nicktoons - Freeze Frame Frenzy (USA)	In SpongeBob SquarePants - Battle For Bikini Bottom, SpongeBob and his friends must defend Bikini Bottom against an invasion from Plankton's robot army. In Nicktoons - Freeze Frame Frenzy, characters from your favorite Nick shows are all mixed up in other worlds! It's up to Jimmy Neutron to get to the bottom of things and help his misplaced friends get back home.
2 Games in 1 - SpongeBob SquarePants - Battle for Bikini Bottom + The Fairly OddParents! - Breakin' da Rules (USA)	With the Spongebob Squarepants / Fairly Odd Parents double pack, you can embark on a variety of adventures in your favorite cartoons. SpongeBob SquarePants: Battle for Bikini Bottom takes you on an underwater adventure through mountains, off cliffs, and inside &quot;cruise bubbles.&quot; In Fairly Odd Parents: Breakin' The Rules, you'll enter a comic book world to battle evil viruses, avoid boy-eating plants, and rescue your Fairy GodParents.
