#key	synopsis
007 - Everything or Nothing (USA, Europe) (En,Fr,De)	Piense como Bond, actúe como Bond y experimente una aventura completamente nueva de Bond. James Bond, el mejor agente secreto del mundo, regresa en Everything or Nothing con nuevas armas y aparatos, habilidades de combate y trucos inteligentes, y depende de ti darles un buen uso. Viaje a través de cuatro emocionantes continentes, que incluyen el Valle de los Reyes en Egipto y el Barrio Francés en Nueva Orleans. El juego también cuenta con misiones cooperativas para dos jugadores y modos de multijugador para cuatro jugadores.
007 - NightFire (USA, Europe) (En,Fr,De)	El último agente secreto está de vuelta en su aventura más peligrosa aún en James Bond 007: NightFire. Explorar nuevas alturas y profundidades como nunca antes - infiltrarse en altos rascacielos, asumir misiones submarinas traicioneras y maniobrar su elegante Aston Martin V12 Vanquish a través de las calles de Tokio. Los nuevos artefactos y armas actualizables de última generación y las misiones originales -incluidas las tareas de gravedad cero- te dejarán sacudido y agitado.
2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)	2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding es un compilado de dos juegos deportivos: Disney Sports Football: Un juego de fútbol americano en el que los jugadores pueden elegir jugar con uno de sus personajes favoritos de Disney, como Mickey Mouse, Donald Duck o Goofy. El juego cuenta con una variedad de modos de juego, incluyendo un modo historia, un modo desafío y un modo multijugador. Disney Sports Skateboarding: Un juego de skateboarding en el que los jugadores pueden elegir jugar con uno de sus personajes favoritos de Disney, como Stitch, Simba o Ariel. El juego cuenta con una variedad de modos de juego, incluyendo un modo historia, un modo desafío y un modo multijugador. Ambos juegos cuentan con controles intuitivos y gráficos coloridos. Son una excelente opción para los jugadores de todas las edades que buscan juegos deportivos divertidos y fáciles de jugar.
2 Disney Games - Lilo & Stitch 2 + Peter Pan - Return to Neverland (Europe) (En,Fr,De,Es+En,Fr,De,Es,It,Nl)	Esta compilación contiene dos juegos de Disney GBA combinados en un cartucho: Disney's Lilo & Stitch 2 Disney's Peter Pan: Return to Never Land Disney's Lilo & Stitch 2: Juega como Stitch y Lilo para rescatar a Nina y David, quienes han sido secuestrados por el mal Hamsterviel y llevado a bordo de su nave espacial. Para complicar las cosas, Hamsterviel creó Experimentos alienígenas malvados que se enfrentan cara a cara con nuestros héroes. Comience capturando cada Experimento y aprovechando su poder especial para progresar y capturar el siguiente. Sparky, Experimento 22, te ayuda con sus poderosas bolas eléctricas, mientras que Richter, Experimento 513, sacude las cosas provocando un terremoto. Los modos de juego incluyen plataformas de disparos como Stitch, navegación y estrategia como Lilo, carreras intensas y modo multijugador. Peter Pan de Disney: Regreso al país de Nunca Jamás: ¡Tinker Bell ha sido secuestrada y Pan necesita sus poderes mágicos para volar! ¿Puedes ayudarlo a derrotar al Capitán Garfio y rescatar a Tinker Bell antes de que se acabe el tiempo? ¡Vuela en todas las direcciones, planea y ataca mientras vuelas! ¡Combina técnicas de vuelo con movimientos de lucha para acrobacias aéreas que harán que los piratas pateen el botín! ¡Explora Londres, el barco pirata del Capitán Garfio, Skull Rock y más!
2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe)	Hot Wheels - Stunt Track Challenge es un juego arcade estilo acrobacias en el que los pilotos compiten en desafíos de acrobacias y ganan carreras vertiginosas para permanecer en el espectáculo. A veces hay minijuegos con tareas especiales, que generalmente implican recolectar íconos dentro de un período de tiempo limitado. El modo de juego de Hot Wheels - World Race es similar al de muchos otros juegos de carreras. Los jugadores pueden hacer trucos especiales mientras están en el aire, lo que se suma al impulso del automóvil de los jugadores. Recolectar anillos de oro también aumenta el impulso.
2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)	MatchBox Missions es una compilación de juegos de rescate en GBA. Pilota un helicóptero o un barco de la marina, encarna a un paramédico y salva la vida de tu paciente. Salva a personas de un incendio... Todo esto lo tendrás que hacer en Salvamento Aéreo, Marítimo y Terrestre. Encarne la elección de la policía o el criminal en una persecución, 4 terrenos diferentes estarán a su disposición. Estas son las posibilidades que ofrece Emergency Response.
2 Game Pack! - Uno + Skip-Bo (USA)	¡Sé el primer jugador o forma parte del primer equipo en anotar 500 puntos en este clásico juego familiar! Juega tus cartas haciendo coincidir el color, el número o la palabra con la carta superior de la pila de descarte. Cuando te queda una carta, ¡es Uno! ¡Skip-Bo combina habilidad, estrategia y diversión en un juego que puede jugar toda la familia! Sé el primero en jugar todas las cartas en secuencia numérica de tu reserva para ganar.
2 Games in 1 - Bionicle + Knights' Kingdom (Europe) (En,Fr,De,Da+En,De)	2 Juegos en 1: LEGO Knight's Kingdom + LEGO Bionicle es una compilación de videojuegos lanzada en 2005 exclusivamente para la Nintendo Game Boy Advance.Incluye las versiones para Game Boy Advance de LEGO Knights' Kingdom y Bionicle: The Game. Ambos juegos fueron desarrollados por Razorback Developments y publicados por THQ.Se trata de un solo cartucho con ambos juegos programados, con una pantalla inicial que permite elegir cuál de los dos títulos jugar. Los juegos se juegan igual que sus versiones originales.El juego puede jugarse en inglés y alemán.
2 Games in 1 - Brother Bear + The Lion King (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)	Dos juegos en un solo cartucho:Brother Bear (Sigue la historia de la popular película de Disney mientras controlas a Kenai y Koda, tanto por separado como juntos, en esta aventura llena de acción. Descubre minijuegos ocultos y objetos extra en un mundo variado y con gran riqueza gráfica, basado en los escenarios vistos en la película).The Lion King (Timon y Pumbaa regresan en una nueva aventura que transcurre durante la película original de El Rey León, aunque desde el punto de vista de estos dos inseparables amigos.Elige a cualquiera de los personajes o juega en modo cooperativo con otro jugador para completar distintos niveles inspirados en los eventos de la película, con varios desafíos por superar. El juego también incluye escenas de la película de Disney, que conectan las aventuras de Timón y Pumbaa con la historia original de Simba y su lucha por recuperar el reino de la Roca del Rey de las garras de Scar).
2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway (USA)	Este paquete doble incluye dos juegos de Cartoon Network para GBA combinados en un solo cartucho: Cartoon Network Block Party: Cartoon Network Block Party es un juego de fiesta que mantiene la acción rápida y divertida en Game Boy Advance. Juega como cualquiera de los 6 personajes de tus series favoritas de Cartoon Network: Johnny Bravo, Coraje, el perro cobarde, Vaca y Pollo y Ed, Edd y Eddy. Desafía hasta a 3 amigos en 4 tableros temáticos y coloridos, cada uno inspirado en las series de Cartoon Network: Planeta Johnnywood, El Castillo Espeluznante de Katz, La Granja Tater y Callejón sin Salida Extremo.
2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es)	Este paquete doble es una compilación de dos juegos de Sega, previamente lanzados individualmente para GBA:nn-Corona de columnasnn-ChuChu Rocket!
2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)	Brother Bear permite a los jugadores jugar como Kenai y Koda, individualmente o en equipo, mientras se embarcan en una aventura que sigue el ritmo de la película. El juego presenta elementos como espectaculares efectos meteorológicos y cinemáticas de la película que darán vida al mundo de Brother Bear. Con cuatro mundos, 16 niveles y juegos de bonificación desbloqueables, Brother Bear de Disney para GBA es un juego de proporciones épicas. Disney Princess sigue las aventuras de seis personajes femeninos clásicos de las películas animadas de Disney, como Blancanieves, Bella, Cenicienta, Ariel, Jasmine y Aurora. El juego está estructurado de la misma manera que el libro Princesas Disney: Cuentos de Amor y Amistad, donde cada personaje tiene una historia separada y explora escenarios inspirados en su respectiva película. Blancanieves, por ejemplo, debe rescatar a sus amigos mientras viaja a través de bosques oscuros y minas, en su camino para enfrentarse a la Bruja Malvada. Aurora de La Bella Durmiente comienza una búsqueda para liberar a tres hadas atrapadas en algún lugar dentro de un castillo gobernado por la poderosa Maléfica.
