#key	synopsis
007 - Everything or Nothing (USA, Europe) (En,Fr,De)	Contrairement au précédent titre GameBoy Nightfire, Everything or Nothing est un jeu d'action à la troisième personne. Les joueurs contrôlent l'action à travers plusieurs lieux, notamment le Pérou, la Russie et une station spatiale. Le jeu comprend également trois niveaux de conduite similaires à ceux du Spy Hunter original afin de diversifier l'action. Pilotez l'Aston Martin de 007 pour éliminer les méchants. À l'aide d'un arsenal d'armes telles que le Walther P99 et le Mac 10, ainsi que des gadgets Bond toujours prêts à l'emploi comme le Q-Rappel et le Holo-Puck, 007 sauve une fois de plus le monde de la destruction. Une fois la campagne solo terminée, le joueur peut se connecter avec jusqu'à trois de ses amis et s'affronter en mode multijoueur. La version GameBoy peut également être connectée à la GameCube pour accéder à du contenu supplémentaire.
007 - NightFire (USA, Europe) (En,Fr,De)	Le joueur doit guider 007 à travers neuf niveaux basés sur des objectifs, mêlant action et furtivité dans des lieux exotiques tels qu'un château autrichien, des tours d'entreprises à Tokyo et une île du Pacifique Sud. Pour vaincre les sbires ennemis, une variété d'armes à feu, notamment des pistolets, des armes automatiques et un fusil de précision, sont disponibles. Dans certaines missions, il faut trouver du matériel plus lourd, comme des lance-roquettes et des lance-grenades, ainsi que des charges explosives pour venir à bout d'adversaires particuliers. Bien sûr, aucun jeu Bond ne serait complet sans quelques gadgets de Q, tels qu'une montre-bracelet laser ou un grappin pour téléphone portable, généralement utilisés lorsque les talents d'espion de Bond sont sollicités.
2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)	pack de 2 jeux : le premier est Disney Sports Football est un jeu de sport sorti sur Gameboy Advance. Comme le titre peut le laisser penser, il s'agit ici d'un jeu de football qui se déroule dans l'univers de Disney. Vous pourrez donc jouer avec vos personnages favoris lors de parties très arcades. le second est Disney Sports Skateboarding est un jeu de skate sur Gameboy Advance. Jouez Mickey ou l'un de ses célèbres amis dans les 10 niveaux que propose ce soft. Vous pouvez aussi rider avec un ami grâce à un mode deux joueurs.
2 Disney Games - Lilo & Stitch 2 + Peter Pan - Return to Neverland (Europe) (En,Fr,De,Es+En,Fr,De,Es,It,Nl)	Pack de 2 jeux : Le premier est Lilo & Stitch 2 est un jeu d'action/plates-formes basé sur le dessin animé de Disney. Vous devez secourir Nina et David, séquestrés dans le vaisseau de l'infâme docteur Jacques Von Hamsterviel. Jouez en solo ou en multi sur 29 niveaux et 4 types de jeu : combats avec Stitch, résolution d'énigmes avec Lilo, pilotage du buggy et batailles contre les chefs. N'oubliez pas d'associer des pouvoirs à Stitch pour rendre ses attaques plus dévastatrices. Le second est Peter Pan Return to Neverland : Tinker Bell a été kidnappée et Pan a besoin de ses pouvoirs magiques pour voler! Pouvez-vous l'aider à vaincre le Capitaine Crochet et à sauver Tinker Bell avant la fin du temps imparti?nnVol fantastique, Action incroyable, Explorez Londres, le bateau pirate du Capitaine Hook, Skull Rock, et plus encore!
2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe)	Hot Wheels - Stunt Track Challenge est un jeu d'arcade de style cascadeur qui se compose de pilotes participant à des défis de cascades et remportant des courses rapides pour rester dans le spectacle. Parfois, il existe des mini-jeux avec des tâches spéciales, impliquant généralement la collecte d'icônes dans un laps de temps limité. Le gameplay de Hot Wheels - World Race est similaire à de nombreux autres jeux de course. Les joueurs peuvent faire des tours spéciaux lorsqu'ils sont dans les airs, ce qui s'ajoute au boost de la voiture des joueurs. La collecte d'anneaux d'or augmente également le boost.
2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)	MatchBox Missions est une compilation de jeu de sauvetage sur GBA. Pilotez un hélicoptère ou un bateau de la marine, incarnez un ambulancier et sauver la vie de votre patient. Sauvez les gens d'un incendie... Vous serez amené à faire tout ça dans Air, Land and Sea Rescue. Incarnez au choix la police ou le criminel dans une course poursuite, 4 terrains différents seront à votre disposition. Voilà les possibilités offertes par Emergency Response.
2 Game Pack! - Uno + Skip-Bo (USA)	Compilation des célèbres jeux de cartes Uno et Skip-Bo dans leur version électronique sur GBA.
2 Games in 1 - Bionicle + Knights' Kingdom (Europe) (En,Fr,De,Da+En,De)	2 Games in 1 : LEGO Knight's Kingdom + LEGO Bionicle est une compilation de jeux vidéo sortis en 2005 en exclusivité pour la Nintendo Gameboy Advance. Elle comprend les versions Gameboy Advance de LEGO Knights' Kingdom (jeu) et Bionicle : The Game. Les deux jeux ont été développés par Razorback Developments et publiés par THQ. Il y a une cartouche de jeu dans laquelle les deux jeux sont programmés pour être joués, avec un écran au début pour choisir l'un ou l'autre titre. Les deux jeux se jouent de la même manière que leurs versions originales. Le jeu peut être joué en anglais et en allemand.
2 Games in 1 - Brother Bear + The Lion King (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)	Deux jeux Disney sur une seule cartouche : Frère des Ours (Frère des Ours est un jeu de plates-formes/action sur Gameboy Advance inspiré du dessin animé de Disney. L'histoire raconte les aventures d'un indien transformé en ours, et qui se retrouve donc projeté malgré lui dans la peau d'un animal qu'il traquait. Vivez les aventures de Kenai, et aidez-le dans sa quête pour retrouver, peut-être, son apparence première) et Le Roi Lion (jeu de plates-formes reprenant la trame du film Le Roi Lion 3. Ce jeu de plates-formes se compose d'une dizaine de niveaux colorés, que vous parcourez avec Timon le suricate et Pumba le phacochère).
2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway (USA)	Ce double pack contient deux jeux Cartoon Network GBA combinés sur une seule cartouche : Cartoon Network Block Party : Cartoon Network Block Party est un jeu de fête qui se déroule rapidement et de manière amusante sur le Game Boy Advance. Incarnez l'un des 6 personnages de vos dessins animés préférés de Cartoon Network : Johnny Bravo, Courage the Cowardly Dog, Cow and Chicken et Ed, Edd n Eddy. Défiez jusqu'à 3 amis sur 4 plateaux thématiques colorés, chacun inspiré des émissions de Cartoon Network : Planet Johnnywood, Katz's Creepy Castle, The Tater Farm et Extreme Cul-De-Sac.
2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es)	Cartouche de jeu comprenant les titres suivants : Columns Crow nColumns Crown est un puzzle-game sur Gameboy Advance. Vous devez ranger les pierres qui tombent suivant leur couleur en lignes horizontales, verticales ou diagonales. Dès que 3 pierres identiques sont alignées, elles disparaissent. La victoire est assurée en empêchant la pile de pierres d'arriver au sommet de l'écran. Il existe deux modes de jeu : le mode classique et le mode survival où le temps passé est primordial. ChuChu Rocket! ChuChu Rocket! sur Gameboy Advance est un jeu de réflexion très original. Sur une carte, des souris doivent rejoindre une fusée qui les mettra hors de portée du chat lancé à leur poursuite. Votre but est de positionner des flèches pour les guider jusqu'à l'engin. Le mode multijoueur se joue avec 4 personnes maximum sur la même cartouche.
2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)	Brother Bear permet aux joueurs d'incarner Kenai et Koda, individuellement ou en équipe, dans une aventure qui suit les événements du film. Le jeu comprend des éléments tels que des effets météorologiques spectaculaires et des scènes coupées du film qui donneront vie à l'univers de Brother Bear. Avec quatre mondes, 16 niveaux et des jeux bonus à débloquer, Disney's Brother Bear pour la GBA est un jeu aux proportions épiques. Disney Princess suit les aventures de six personnages féminins classiques des films d'animation de Disney, dont Blanche-Neige, Belle, Cendrillon, Ariel, Jasmine et Aurore. Le jeu est structuré de la même manière que le livre Disney's Princess Collection : Love and Friendship Stories, où chaque personnage a son propre scénario et explore des décors inspirés de son film respectif. Blanche-Neige, par exemple, doit sauver ses amis tout en traversant les bois sombres et les mines avant d'affronter la méchante sorcière. L'Aurore de La Belle au bois dormant se lance dans une quête pour libérer trois fées piégées quelque part dans un château gouverné par la puissante Maléfique.
2 Games in 1 - Disney Princess + Lizzie McGuire (Europe)	Deux jeux sur une seule cartouche : Disney Princess Grâce à Disney Princesse sur Gameboy Advance vous pouvez incarner les plus connues des princesses Disney. A leurs côtés, vous vivez des aventures dans des niveaux connus de tous et issus des grands classiques de Disney. Lizzie McGuire Lizzie McGuire est une collection de mini-jeux tournant autour de l'héroïne de la série de Disney. La cartouche propose aussi une fonction PDA pour organiser votre semaine.
2 Games in 1 - Dragon Ball Z - The Legacy of Goku I & II (USA)	Deux jeux Dragonball sur une seule cartouche : L'Héritage de Goku 1 et 2. Dragon Ball Z : L'Héritage de Goku. Mélangeant action et jeu de rôle, plus un zeste d'aventure, ce titre retrace la saga depuis l'entraînement de Goku avec Kaïo jusqu'à la transformation en super saiyen. Parcourez les plaines du jeu, combattez des ennemis pour monter en expérience et acquérir de nouvelles techniques jusqu'à l'affrontement final. Faisant suite directe à son prédécesseur, Dragon Ball Z : L'Héritage de Goku 2 reprend là où l'autre s'est arrêté. Après sa victoire sur Namek, Goku revient sur terre affronter les cyborgs et Cell. Toujours à mi-chemin entre l'action et le jeu de rôle, le titre propose cinq personnages jouables avec les coups et les techniques qui les accompagnent. Devenez suffisamment puissant pour repousser les invasions qui menacent la planète.
