#key	name	year	genre	developer	players
007 - The World Is Not Enough (USA, Europe)	007: The World is Not Enough	2001	Shooter	2n Productions	1-2
10-Pin Bowling (USA) (Rumble Version)	10-Pin Bowling	1999	Sports / Bowling/Sports	Morning Star Multimedia	1-2
102 Dalmatians - Puppies to the Rescue (USA, Europe)	102 Dalmatians : Puppies to the Rescue	2000	Platform	Crystal Dynamics	1
1942 (USA, Europe)	1942	2000	Shoot'em Up / Vertical/Shoot'em Up	Capcom	1-2
3-D Ultra Pinball - Thrillride (USA) (Rumble Version)	3-D Ultra Pinball : Thrillride	2001	Pinball	Left Field Productions	2-4
3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)	3D Pocket Pool	2001	Sports / Pool/Sports	Aardvark Technical Services	1-2
720 Degrees (USA, Europe) (GB Compatible)	720 Degrees	1999	Sports / Skateboard/Sports	Atari	1
Action Man - Search for Base X (USA, Europe)	Action Man: Search for Base X	2001	Platform	Natsume	1
Adventures of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl)	The Adventures of the Smurfs	2000	Adventure	Infogrames	1
AirForce Delta (USA)	Airforce Delta	2000	Shooter / Plane/Shooter	Climax	1-2
Aladdin (USA)	Aladdin	2000	Platform	Virgin	1
Alfred's Adventure (Europe) (En,Fr,De,Es,It)	Alfred's Adventure	2000	Adventure	Mobius Entertainment	1
Alice in Wonderland (USA, Australia)	Alice in Wonderland	2000	Platform	Digital Eclipse	1-2
Aliens - Thanatos Encounter (USA, Europe)	Aliens : Thanatos Encounter	2001	Shooter	Crawfish Interactive	1
All Star Tennis 2000 (Europe) (AZTP) (GB Compatible)	All Star Tennis 2000	1999	Sports / Tennis/Sports	Smart Dog	1-2
All-Star Baseball 2000 (USA, Europe)	All-Star Baseball 2000	1999	Sports / Baseball/Sports	Realtime Associates	1
All-Star Baseball 2001 (USA)	All-Star Baseball 2001	2000	Sports / Baseball/Sports	Griptonite Games	1
Alone in the Dark - The New Nightmare (USA) (En,Fr,Es)	Alone in the Dark : The New Nightmare	2001	Adventure / Survival Horror/Adventure	Pocket Studios	1
