#name	crc	size	key
007 - The World Is Not Enough (USA, Europe)	e038e666	2097152	007 - The World Is Not Enough (USA, Europe)
10-Pin Bowling (Europe)	5449cac0	1048576	10-Pin Bowling (USA) (Rumble Version)
10-Pin Bowling (USA) (Rumble Version)	720c7023	1048576	10-Pin Bowling (USA) (Rumble Version)
102 Dalmatas - Cachorros Al Rescate (Spain)	f2128908	1048576	102 Dalmatians - Puppies to the Rescue (USA, Europe)
102 Dalmatians - Puppies to the Rescue (USA, Europe)	56b83539	1048576	102 Dalmatians - Puppies to the Rescue (USA, Europe)
102 Dalmatiens a la Rescousse, Les (France)	e84191a8	1048576	102 Dalmatians - Puppies to the Rescue (USA, Europe)
102 Dalmatiner (Germany)	725a3483	1048576	102 Dalmatians - Puppies to the Rescue (USA, Europe)
1942 (USA, Europe)	87431672	1048576	1942 (USA, Europe)
3-D Ultra Pinball - Thrillride (USA) (Rumble Version)	1766e558	524288	3-D Ultra Pinball - Thrillride (USA) (Rumble Version)
3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)	8cdab77f	1048576	3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)
3D Pool Allstars (USA) (En,Fr,Es) (Proto)	245de3e2	1048576	3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)
4x4 World Trophy (Europe) (En,Fr,De,Es,It) (GB Compatible)	f62ad75e	1048576	Test Drive Off-Road 3 (USA) (Rumble Version) (SGB Enhanced) (GB Compatible)
720 Degrees (USA, Europe) (GB Compatible)	e633841f	1048576	720 Degrees (USA, Europe) (GB Compatible)
Action Man - Search for Base X (USA, Europe)	1226499e	1048576	Action Man - Search for Base X (USA, Europe)
Adventures of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl)	d0d3dfed	1048576	Adventures of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl)
AirForce Delta (Japan)	5dfff5e2	1048576	AirForce Delta (USA)
AirForce Delta (USA)	ff31cc92	1048576	AirForce Delta (USA)
Aladdin (Europe) (En,Fr,De,Es,It,Nl)	446573cd	1048576	Aladdin (USA)
Aladdin (USA)	a91ec059	1048576	Aladdin (USA)
Alfred's Adventure (Europe) (En,Fr,De,Es,It)	6f9ef15e	1048576	Alfred's Adventure (Europe) (En,Fr,De,Es,It)
Alice in Wonderland (Europe) (En,Fr,De,Es)	85545d81	2097152	Alice in Wonderland (USA, Australia)
Alice in Wonderland (USA, Australia)	3199f65f	2097152	Alice in Wonderland (USA, Australia)
Aliens - Thanatos Encounter (USA, Europe)	bec3c24b	1048576	Aliens - Thanatos Encounter (USA, Europe)
All Star Tennis '99 (USA) (Proto) (1999-09-13) (GB Compatible)	e1b17e76	1048576	All Star Tennis 2000 (Europe) (AZTP) (GB Compatible)
All Star Tennis 2000 (Europe) (AZTP) (GB Compatible)	952b94e5	1048576	All Star Tennis 2000 (Europe) (AZTP) (GB Compatible)
All Star Tennis 2000 (Europe) (AZTX) (Proto) (GB Compatible)	deff8dfb	1048576	All Star Tennis 2000 (Europe) (AZTP) (GB Compatible)
All Star Tennis 2000 (USA) (Proto) (GB Compatible)	9890bcb4	1048576	All Star Tennis 2000 (Europe) (AZTP) (GB Compatible)
All-Star Baseball 2000 (USA, Europe)	e17f59a5	1048576	All-Star Baseball 2000 (USA, Europe)
All-Star Baseball 2001 (USA)	bc562466	1048576	All-Star Baseball 2001 (USA)
Alone in the Dark - The New Nightmare (Europe) (En,Fr,De,Es,It,Nl)	7ff2042f	4194304	Alone in the Dark - The New Nightmare (USA) (En,Fr,Es)
Alone in the Dark - The New Nightmare (Europe) (En,Fr,De,Es,It,Nl) (Beta)	7c101475	4194304	Alone in the Dark - The New Nightmare (USA) (En,Fr,Es)
Alone in the Dark - The New Nightmare (USA) (Beta) (2001-02-21)	3821d140	4194304	Alone in the Dark - The New Nightmare (USA) (En,Fr,Es)
Alone in the Dark - The New Nightmare (USA) (En,Fr,Es)	c145c036	4194304	Alone in the Dark - The New Nightmare (USA) (En,Fr,Es)
Animal Breeder 3 (Japan) (SGB Enhanced) (GB Compatible)	c62a4c30	4194304	Animal Breeder 3 (Japan) (SGB Enhanced) (GB Compatible)
Animal Breeder 4 (Japan)	83d838c3	4194304	Animal Breeder 4 (Japan)
Animastar GB (Japan)	b14920f0	2097152	Animastar GB (Japan)
Animorphs (Europe) (En,Fr,De,Es,It)	7fd46da1	1048576	Animorphs (USA)
Animorphs (USA)	b4f293cc	1048576	Animorphs (USA)
Anpfiff - Der RTL Fussball-Manager (Germany)	b54d264a	1048576	Player Manager 2001 (Europe) (En,Fr)
Antz (Europe) (En,Fr,De,Es,It,Nl) (Beta) (GB Compatible)	f287fc49	524288	Antz (USA) (En,Fr,Es) (GB Compatible)
Antz (Europe) (En,Fr,De,Es,It,Nl) (GB Compatible)	4839e0c1	1048576	Antz (USA) (En,Fr,Es) (GB Compatible)
Antz (USA) (En,Fr,Es) (GB Compatible)	dc0be439	1048576	Antz (USA) (En,Fr,Es) (GB Compatible)
Antz Racing (Europe) (En,Fr,De,Es,It,Nl)	f625a959	1048576	Antz Racing (USA) (En,Fr,De,Es,It,Nl)
Antz Racing (USA) (En,Fr,De,Es,It,Nl)	dfdf90c0	1048576	Antz Racing (USA) (En,Fr,De,Es,It,Nl)
Antz World Sportz (Europe) (En,Fr,De,Es,It,Nl)	67c7f85c	1048576	Antz World Sportz (Europe) (En,Fr,De,Es,It,Nl)
