#key	style	ss_system_id
007 - The World Is Not Enough (USA, Europe)	mixrbv2	10
10-Pin Bowling (USA) (Rumble Version)	mixrbv2	10
102 Dalmatians - Puppies to the Rescue (USA, Europe)	mixrbv2	10
1942 (USA, Europe)	mixrbv2	10
3-D Ultra Pinball - Thrillride (USA) (Rumble Version)	mixrbv2	10
3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)	mixrbv2	10
720 Degrees (USA, Europe) (GB Compatible)	mixrbv2	10
Action Man - Search for Base X (USA, Europe)	mixrbv2	10
Adventures of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl)	mixrbv2	10
AirForce Delta (USA)	mixrbv2	10
Aladdin (USA)	mixrbv2	10
Alfred's Adventure (Europe) (En,Fr,De,Es,It)	mixrbv2	10
Alice in Wonderland (USA, Australia)	mixrbv2	10
Aliens - Thanatos Encounter (USA, Europe)	mixrbv2	10
All Star Tennis 2000 (Europe) (AZTP) (GB Compatible)	mixrbv2	10
All-Star Baseball 2000 (USA, Europe)	mixrbv2	10
All-Star Baseball 2001 (USA)	mixrbv2	10
Alone in the Dark - The New Nightmare (USA) (En,Fr,Es)	mixrbv2	10
Animal Breeder 3 (Japan) (SGB Enhanced) (GB Compatible)	mixrbv2	10
Animal Breeder 4 (Japan)	mixrbv2	10
Animastar GB (Japan)	mixrbv2	10
Animorphs (USA)	mixrbv2	10
Antz (USA) (En,Fr,Es) (GB Compatible)	mixrbv2	10
Antz Racing (USA) (En,Fr,De,Es,It,Nl)	mixrbv2	10
Antz World Sportz (Europe) (En,Fr,De,Es,It,Nl)	mixrbv2	10
Aqualife (Japan) (SGB Enhanced) (GB Compatible)	mixrbv2	10
Arle no Bouken - Mahou no Jewel (Japan) (SGB Enhanced) (GB Compatible)	mixrbv2	10
Armada - FX Racers (USA)	mixrbv2	10
Armorines - Project S.W.A.R.M. (USA, Europe) (En,De)	mixrbv2	10
Army Men (USA, Europe) (En,Fr,De)	mixrbv2	10
Army Men - Air Combat (USA, Europe) (En,Fr,De)	mixrbv2	10
