#key	synopsis
007 - The World Is Not Enough (USA, Europe)	In diesem Spiel erzählen wir Ihnen die berühmte Geschichte des Films „Die Welt ist nicht genug“. Die Grafik ist nicht großartig, aber die Leistung des Game Boy war noch nie außergewöhnlich. Für James-Bond-Fans: Download. Dieses Spiel sieht heutzutage ein bisschen wie ein Handyspiel aus.
10-Pin Bowling (USA) (Rumble Version)	Für diejenigen, deren Bowling nur eine alte Erinnerung ist, ist es Zeit, neue Energie zu tanken ... natürlich Zeit für eine Partie Bowling! Die Stärke von 10 Pin Bowling liegt in der Benutzerfreundlichkeit. Es ist tatsächlich möglich, am selben Automaten gegen einen zweiten Spieler anzutreten! Was die Aktion betrifft, ist es klassisch: seitliche Bewegung des Spielers, Anpassung der Wurfkraft und Steuerung der auf den Ball ausgeübten Wirkung. Sicher, es ist umfassend, aber nichts weiter als die Konkurrenz. Leider ist nur ein Einzelspieler-Spielmodus verfügbar und es ist nur eine Übung. Darüber hinaus gibt es keine Optionen wie die Ballauswahl oder das anfängliche Pin-Layout. Es genügt zu sagen, dass Sie dieses Spiel schnell satt haben werden. Beachten Sie das im Modul ein Rumble-Pack integriert ist.
102 Dalmatians - Puppies to the Rescue (USA, Europe)	Cruella De Vil hat weitere Dalmatinerwelpen gefangen, um sie zu einem Mantel zu verarbeiten. Du als Domino oder Oddball musst sie befreien. Disney's 102 Dalmatiner: für den Game Boy Color ist ein seitlich scrollendes 2D-Plattformspiel. Du musst durch das Level rennen und springen, um einen Schlüssel zu finden. Sobald du den Schlüssel hast, gehst du zu jedem Käfig, um ihn zu öffnen und die Welpen zu befreien. Wenn du alle Welpen befreit hast, erhältst du ein Passwort und kommst in den nächsten Level. Versuchen Sie, den gegnerischen Spielzeugen auszuweichen, da sie Sie verletzen können. Du kannst ein Spielzeug mit deinem Bellen betäuben, aber das ist nur vorübergehend.
1942 (USA, Europe)	1942 ist eine Konvertierung des Arcade-Spiels, ein vertikal scrollender Shooter für einen oder zwei Spieler. Wir schreiben das Jahr 1942, und Sie sind ein wagemutiger Kampfpilot &quot;Super Ace&quot;. Sie beginnen und beenden jeden der zahlreichen Level auf einem Flugzeugträger und fliegen dann mit Ihrem Flugzeug in die Schlacht gegen den Feind zu Wasser und zu Lande. Nach der Zerstörung bestimmter Flugzeugverbände können Sie verschiedene Power-Ups sammeln, um Ihre Feuerkraft und Ihre Überlebenschancen zu erhöhen.
3-D Ultra Pinball - Thrillride (USA) (Rumble Version)	Mit 3D ULTRA PINBALL: Thrill Ride kommen alle Schnickschnack und Sirenen der Flipperspiele von gestern auf das tragbare System. Dieser farbenfrohe Titel vereint die schnelle Flipper-Action mit Funktionen, die nur ein Videospiel bieten kann. Der Tisch in voller Größe verfügt über mehrere Aktionsbildschirme, wobei alle Grundlagen des Flipperspiels erhalten bleiben. Stoßstangen, Rampen, Stopper und Flipper verstreuen den Tisch, zusammen mit einer Vielzahl spezieller Bonusrutschen, die Sie zu einer von mehreren besonderen Flipper-Herausforderungen führen. 3D ULTRA PINBALL zeichnet sich durch farbenfrohe Grafiken mit hervorragenden Details auf dem Spielbrett und seinen verschiedenen Teilen aus. Das Spiel verfügt außerdem über realistische Ballphysik und Gameplay-Elemente, also stoßen Sie nicht zu stark an, sonst bekommen Sie einen „TILT“! 3D ULTRA PINBALL: Thrill Ride wird Ihre Fähigkeiten auf die Probe stellen und Ihre Reflexe an ihre Grenzen bringen.
3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)	3D Pocket Pool ist eine Billardsimulation, die vier Arten von Spielen mit 8 oder 9 Bällen und konfigurierbaren Regeln (Amerikanisch, Englisch oder Bar) bietet. Wenn Sie alle diese Herausforderungen abschließen, steht Ihnen weiterhin der Versus-Modus zur Verfügung, in dem Sie zu zweit spielen können. Vom ersten Teil an sind wir vom 3D überrascht! Ja, Sie haben richtig gelesen, der Spieltisch wird in echtem 3D mit Polygonen nachgebildet und das Ergebnis ist alles andere als schlecht! Mithilfe des Richtungskreuzes können Sie den Tisch umdrehen, um jede Situation besser einschätzen zu können. Das Problem liegt dann in der Spielbarkeit. Selbst wenn eine Darstellung Ihres Balls angezeigt wird, um seine Flugbahn vorherzusagen, ist es nicht immer einfach, in der vorgegebenen Zeit das zu erreichen, was Sie wollen. Glücklicherweise gibt es eine Option zum Stoppen des Timers.
720 Degrees (USA, Europe) (GB Compatible)	Du bist Skateboarder in Skate City, einem der größten Skateparks, die je gebaut wurden. Fahren Sie von Rampen herunter, grinden Sie auf Schienen und schlängeln Sie sich an Fußgängern vorbei, während Sie Tricks vollbringen. Besuchen Sie die im Park verstreuten Skateshops, um Ihre Ausrüstung aufzurüsten und Ihre Fähigkeiten zu verbessern. Nehmen Sie an Wettbewerben teil, um Medaillen und Geld zu verdienen, das Sie in den Geschäften verwenden können. Wenn Sie jedoch nicht rechtzeitig zu einem Wettbewerb kommen, erscheint die berüchtigte „Skate Or Die“-Meldung und Sie müssen sich beeilen!
Action Man - Search for Base X (USA, Europe)	Alex „Action Man“ Mann macht einen Zwischenstopp beim Game Boy Color, wo er erneut verhindern muss, dass die Welt in die Fänge des bösen Dr. gerät. Sie bewegen sich vom Dschungel bis zur Arktis und kämpfen mit einer Vielzahl von Robotern gegen eine Armee von Robotern Waffen und Kampfanzüge auf der Suche nach Base X und dem Stoppen von Dr. World. Das Spiel ist ein standardmäßiges Side-Scrolling-Action-Plattformspiel, bei dem der Spieler durch das Level voranschreitet, Feinde zerstört und Fallstricke vermeidet. Unterwegs können sie stärkere Waffen, Pfeil und Bogen und sogar verschiedene Anzüge mitnehmen, die ihnen bei ihrer Suche helfen können. Darüber hinaus können Spieler diese Waffen und Anzüge finden, indem sie im Verlauf der Level unterschiedliche Wege einschlagen.
AirForce Delta (USA)	Deadly Skies ist ein Top-Down-Actionspiel für den Gameboy Color. Der Spieler kann bis zu neun verschiedene Kampfflugzeuge freischalten. Wenn die etwa zwanzig angebotenen Missionen viele Luftkämpfe und einige Bombardierungen von Bodenzielen beinhalten, geht es manchmal darum, als Eskorte für ein bedrohtes Flugzeug zu dienen.
Aladdin (USA)	Das Spiel von Virgin, das auf dem Disney-Zeichentrickfilm von 1992 basiert, ist ein seitlich scrollender Plattformer. Der Spieler steuert Aladdin, der sich seinen Weg durch mehrere Levels bahnen muss, die den Schauplätzen des Films nachempfunden sind: von den Straßen und Dächern Agrabahs über die Höhle der Wunder und den Kerker des Sultans bis hin zur finalen Konfrontation im Palast des Großwesirs Jafar. Die Wachen des Sultans und auch die Tiere der Wüste wollen Aladdin auf seinem Weg behindern. Er kann sich mit seinem Schwert oder durch das Werfen von Äpfeln verteidigen. Neben Äpfeln kann Aladdin auch Edelsteine sammeln, die er bei einem reisenden Händler gegen Leben eintauschen kann und so weiter kommt. Wenn Sie Genie- oder Abu-Symbole finden, werden Bonusrunden aktiviert. Die Genie-Bonusrunde ist ein Glücksspiel, bei dem es um Äpfel, Edelsteine oder zusätzliche Leben geht. In der Bonusrunde von Abu steuert der Spieler den kleinen Affen, der Bonusgegenstände auffangen muss, die vom Himmel fallen, ohne dabei unerwünschte Objekte wie Steine oder Töpfe zu berühren. Die humorvollen Animationen des Spiels wurden von Walt Disney Feature Animation erstellt.
