#key	synopsis
007 - The World Is Not Enough (USA, Europe)	Entra en el sofisticado mundo del espionaje de alta tecnología como el mayor espía de Su Majestad... James Bond. Experimente toda la intensa acción, el espionaje y los artilugios de última generación sinónimos de Bond. Trabaje con aliados útiles como la Dra. Christmas Jones y M para detener al villano traicionero Renard. Su misión: Salvar al mundo. ¿Estás preparado para ello? Por supuesto que sí. Eres Bond. James Bond.
10-Pin Bowling (USA) (Rumble Version)	10-PIN BOWLING te ofrece toda la diversión de los bolos en miniatura en tu Game Boy Color. Juega solo o con un amigo en 10 marcos de acción de bolos simple y directa. Desafía a tu amigo a ver quién es mejor o reta tus propias puntuaciones para ver si puedes vencerlo. Apunta con cuidado y aplica la cantidad adecuada de fuerza y estarás acumulando strikes en poco tiempo. Este cartucho también utiliza la tecnología Rumble para que puedas sentir cada golpe y cada recambio en el callejón. 10-PIN BOWLING tiene todo menos el apestoso alquiler de zapatos. ¿Gobernarás el callejón, o serás sólo otra bola de canalón?
102 Dalmatians - Puppies to the Rescue (USA, Europe)	Cruella De Vil ha capturado más cachorros dálmatas para convertirlos en un abrigo, y tú, como Domino o Oddball, debes liberarlos. Disney's 102 Dalmatians: Cachorros al Rescate es un juego de plataformas de desplazamiento lateral en 2D. Debes correr y saltar por el nivel, buscando una llave. Una vez tengas la llave, debes ir a cada jaula para abrirla y liberar a los cachorros. Cuando todos los cachorros estén libres, obtendrás una contraseña y pasarás al siguiente nivel. Intenta evitar los juguetes enemigos que se mueven ya que te dañarán. Puedes usar tu ladrido para aturdir un juguete, pero sólo de forma temporal.
1942 (USA, Europe)	1942... tú y el atrevido piloto de caza &quot;Super Ace&quot; están involucrados en realistas, emocionantes y desafiantes batallas de alto vuelo con el enemigo. Sobre tierra, mar y aire, tu propia habilidad y destreza... combinada con la maestría de vuelo de Super Ace, se batirán en duelo con los pilotos enemigos en cazas y bombarderos. 1942... son aviones que despegan y aterrizan en portaaviones oceánicos... interrumpen las formaciones enemigas listas para atacar... interceptando a los guerreros aéreos enemigos a los que debes derrotar &quot;volándolos del cielo&quot;. ¿Será la victoria? ¿O la derrota? ¡Está en sus hábiles manos!
3-D Ultra Pinball - Thrillride (USA) (Rumble Version)	Todas las campanas, silbatos y sirenas de los juegos de pinball de antaño llegan al sistema portátil con 3D ULTRA PINBALL: Thrill Ride. Este colorido título toma toda la acción rápida del pinball y la combina con características que sólo un videojuego puede proveer. La mesa de tamaño completo presenta múltiples pantallas de acción, con todas las grapas del pinball intactas. Parachoques, rampas, topes y aletas llenan la mesa, junto con una variedad de toboganes especiales de bonificación que te llevarán a uno de varios desafíos especiales de pinball. El 3D ULTRA PINBALL está resaltado por gráficos de colores brillantes, con excelentes detalles en el tablero y sus diversas partes. El juego también presenta una física de la bola y elementos de juego realistas, ¡así que no choques demasiado o conseguirás un &quot;TILT&quot;! 3D ULTRA PINBALL: Thrill Ride pondrá a prueba tus habilidades y llevará tus reflejos al límite.
3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)	3D Pocket Pool consiste en varios conjuntos de reglas, todas las variaciones de los típicos juegos de billar. 3D Pocket Pool utiliza varios personajes de tipo monstruo en lugar de personajes humanos normales. En 3D Pocket Pool hay cuatro modos de juego diferentes: Práctica, Torneo, Dos jugadores y Asesino.
720 Degrees (USA, Europe) (GB Compatible)	Súbete y cuelga diez mientras te estrellas en las esquinas, te desvías en las aceras y saltas sobre los habitantes de Skate City, un mundo de fantasía para patinadores en el que se puede patinar prácticamente en cualquier superficie. Da vueltas y vueltas alrededor de los luchadores callejeros, lanzadores de Frisbee, cuerpos duros y abejas asesinas que abarrotan las calles de la ciudad. Perfecciona tus habilidades y lleva tu actuación a los parques de patinaje donde competirás por medallas y dinero en competiciones de descenso, salto, rampa y slalom. Dispara a los tubos, &quot;coge aire&quot; mientras vuelas por las rampas - domina todos los movimientos incluyendo los peligrosos 720. Necesitarás todas las ventajas para convertirte en campeón del mundo del patinaje.
Action Man - Search for Base X (USA, Europe)	Alex &quot;Action Man&quot; Mann hace una parada en la Game Boy Color donde una vez más debe evitar que el mundo caiga en las garras del malvado Dr. X. El jugador toma el control de Action Man mientras viaja a través de siete niveles diferentes que van desde las selvas hasta el Ártico, luchando contra un ejército de robots con una variedad de armas y trajes de batalla en busca de la Base X y evitar que el Dr. X lance una nueva y aterradora arma que podría muy bien traer el fin del mundo. El juego es un juego de plataformas de acción de desplazamiento lateral estándar en el que el jugador avanza a lo largo del nivel, destruyendo enemigos y evitando las caídas en boxes. A lo largo del camino pueden coger armas más potentes, así como un arco y una flecha e incluso diferentes trajes que les pueden ayudar en su búsqueda. Además, los jugadores pueden encontrar estas armas y trajes tomando diferentes caminos a lo largo de los niveles.
Adventures of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl)	¡Los Pitufos se han vuelto de color naranja! Ddebes ayudar a Pitufo Carpintero a construir una máquina para salvar a sus amigos. Sus aventuras lo llevarán a través de 16 emocionantes niveles en donde se cruza un río, el viaje en lo profundo de las minas, vuelan en lo alto de un avión, evitar la lava de un volcán y mucho más! La acción se considera sobre todo a partir de una vista aérea, a pesar de que puede guiar a tu personaje Pitufo para saltar entre plataformas.
AirForce Delta (USA)	¿Alguna vez has estado gritando a Mach 2 y ordenando lanzar 6.000 libras de bombas sobre un objetivo no más grande que un Yugo? ¿O ha tenido la sensación de que varios bogeys se le acercaban a su cola para que un localizador le volara del cielo? Has sido contratado por un grupo de mercenarios para repostar, atar y apagar al enemigo. Y para endulzar la situación en este trato &quot;Cuanto más saques, más te llevas a casa&quot;, puedes mejorar tu viaje, eligiendo entre más de 30 aviones diferentes para hacer el trabajo. ¿Te apuntas? ¡Entonces prepárate para tomar un poco de aire en serio!
