#key	synopsis
007 - The World Is Not Enough (USA, Europe)	007 : Le monde ne suffit pas est basé sur le film James Bond du même nom sorti en 1999. Dans ce film, Pierce Brosnan incarne Bond qui doit enquêter sur le meurtre d'un magnat britannique du pétrole et sur les attaques contre son nouveau pipeline, ce qui le mène à un complot sinistre plus vaste qu'il devra déjouer à coups de fusil et de miles aériens. Contrairement aux versions Nintendo 64 et Playstation, ce jeu ne comporte que huit missions et offre une vue aérienne en 2D au lieu d'une vue à la première personne en 3D. Il n'y a pas de mode multijoueur, pas de niveaux de difficulté et pas de fonction de sauvegarde. Des mots de passe sont utilisés pour passer aux niveaux suivants et débloquer certaines astuces.
10-Pin Bowling (USA) (Rumble Version)	Pour ceux dont la quille n&#39;est plus qu&#39;un vieux souvenir, il est temps de rempiler... le temps d&#39;une partie de bowling évidemment ! Le point fort de 10 Pin Bowling se situe au niveau convivialité. Il est, en effet, possible d&#39;affronter un deuxième joueur sur la même machine ! Côté action, c&#39;est du classique : déplacement latéral du joueur, réglage de la puissance de votre lancer et gestion de l&#39;effet appliqué à la boule. Certes, c&#39;est complet, mais rien de plus que la concurrence. Malheureusement, un seul mode de jeu en solo est disponible et il ne s&#39;agit que d&#39;un entraînement. De plus, il n&#39;y a aucune option telle que le choix de la boule ou la disposition initiale des quilles. Autant dire que vous vous lasserez vite de ce jeu. A noter, la présence d&#39;un rumble pack intégré à la cartouche.
102 Dalmatians - Puppies to the Rescue (USA, Europe)	Les 102 Dalmatiens : A la Rescousse, est un jeu d'action/plates-formes sur Gameboy Color. Vous incarnez un courageux chiot qui doit sauver sa nombreuse famille des griffes de l'affreuse Cruella d'Enfer.
1942 (USA, Europe)	1942 est l&#39;adaptation d&#39;un jeu d&#39;arcade des années 1980. Il s&#39;agit d&#39;un shoot&#39;em up à scrolling vertical où vous devrez exterminer des hordes d&#39;avions qui arriveront de partout. Lorsque vous abattrez une série d&#39;appareils, un item vous sera attribué, souvent pour gagner en puissance de tir. Il vous est possible de réaliser des loopings qui vous rendront momentanément inaccessible aux tirs ennemis.
3-D Ultra Pinball - Thrillride (USA) (Rumble Version)	3D Ultra Pinball : Thrillride est un jeu de flipper sur Gameboy Color rassemblant des tables à thématiques de fêtes foraines et d'attractions. Plusieurs objectifs sont à débloquer pour faire grimper le nombre de points et inscrire son nom dans le high-score.
3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)	3D Pocket Pool est une simulation de billard proposant quatre types de jeux avec 8 ou 9 boules et des règles paramétrables (américaine, anglaise ou de bar). Si vous arrivez à bout de tous ces challenges, il vous restera le mode Versus où vous pourrez jouer à deux. Dès la première partie, on est surpris par la 3D ! Oui, vous avez bien lu, la table de jeu est reconstituée en vraie 3D avec des polygones et le résultat est loin d'être mauvais ! On peut ainsi tourner autour de la table grâce à la croix directionnelle pour mieux apprécier chaque situation. Le problème vient alors de la jouablité. Même si une représentation de votre boule sera affichée pour anticiper sa trajectoire, il n'est pas toujours facile de faire ce qu'on veut dans le temps imparti. Heureusement, une option permet d'arrêter le chronomètre.
720 Degrees (USA, Europe) (GB Compatible)	Dans 720º, vous prenez votre planche de skate et vous ridez dans Skate City, le plus grand skatepark jamais construit. Vous pouvez faire des ollies et des grinds pour marquer le maximum de points dans les compétitions, afin d'obtenir des médailles. Des rampes spéciales sont prévues à cet effet aux alentours du parc principal.
Action Man - Search for Base X (USA, Europe)	ACTION MAN sur Game Boy Color, Dans ce jeu d'action solo, vous incarnez Action Man lui-même alors qu'il se bat pour mettre fin au dernier stratagème de son ennemi juré, Dr. X. Battez-vous à travers six étapes de gameplay à défilement latéral qui se déroulent dans des domaines tels que la jungle, les sommets enneigés, et même l'espace extra-atmosphérique. Pour aider votre cause, vous pouvez recueillir un véritable arsenal d'armes mortelles, y compris des armes à feu, des grenades et plus encore. Action Man possède également plusieurs combinaisons de combat spéciales qui lui donnent de nouveaux pouvoirs et capacités; vous devrez choisir le bon matériel pour progresser dans certaines sections, et tous les domaines ne peuvent pas être explorés avec un seul costume. Les graphiques pleins de couleurs et vibrants affichent toutes les explosions et l'action à haut indice d'octane.
Adventures of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl)	La Mission des Schtroumpfs est un jeu de plates-formes sur Gameboy. Suite à une expérience ratée, un nuage de gaz étrange se répand au-dessus du village, donnant à tous ses habitants une peau de couleur orangée à pois blancs. Les Schtroumpfs qui ont échappé au drame doivent traverser 16 niveaux pour mettre la main sur les composants qui permettront au Grand Schtroumpf de fabriquer l'antidote.
AirForce Delta (USA)	Deadly Skies est un jeu d'action vu de dessus sur Gameboy Color. Le joueur peut débloquer jusqu'à neuf avions de combat différents. Si la vingtaine de missions proposées offre moult combats aériens et quelques bombardements de cibles au sol, il s'agit parfois de servir d'escorte à un aéronef menacé.
Aladdin (USA)	Reprenant les différentes séquences du film d'animation de Disney, Aladdin sur Gameboy permet de retrouver tous les personnages de l'histoire. Ce jeu de plates-formes propose effectivement de suivre Aladdin des rues d'Agrabah aux couloirs du palais royal en passant bien sûr par la célèbre caverne aux merveilles. Le Génie est aussi de la partie et permet de gagner des bonus.
Alfred's Adventure (Europe) (En,Fr,De,Es,It)	Alfred's Adventure met en vedette notre héros «courageux», Alfred Chicken. Alfred doit se frayer un chemin à travers pour sauver Billy Egg qui a été &quot;braconné&quot; par le poulet Meka-Chickens pour leur bizarre &quot;oeufs-périment&quot; de clonage. Alfred, le bon ?uf rond, doit arrêter leur tentative maléfique pour conquérir le monde, mais il est sûrement à la hauteur de la tâche. Après tout, il n'est pas un poulet. est-il?
Alice in Wonderland (USA, Australia)	Accompagnez Alice et poursuivez le lapin blanc dans l'adaptation du film de Disney Alice au Pays des Merveilles sur Gameboy. Tous les personnages de l'entourage d'Alice sont présents : le chapelier toqué, monsieur chat Foin, la Dame de coeur et les frères Tweedle. Le mode Course est jouable à un ou deux joueurs avec une seule Console.
Aliens - Thanatos Encounter (USA, Europe)	Jeu de tir et d'action, Aliens : Thanatos Encounter sur Gameboy se compose de 12 niveaux accessibles suivant 3 grades de difficulté. Avec votre équipe de cinq personnages, partez à la conquête de différentes zones remplies d'aliens, dont l'objectif se complexifie au fur et à mesure.
All Star Tennis 2000 (Europe) (AZTP) (GB Compatible)	All Star Tennis 2000 : Défiez 12 joueurs différents, chacun avec son propre style de jeu. Choisissez parmi 8 terrains et 3 modes de jeu différents.
All-Star Baseball 2000 (USA, Europe)	All-Star Baseball est une série de jeu vidéo de baseball, développés par Iguana Entertainment et édités par Acclaim. Le premier volet de la série est All-Star Baseball '99 sorti en 1998 sur Nintendo 64, le dernier volet est All-Star Baseball 2005 sorti en 2004 sur XBox et PlayStation 2.
All-Star Baseball 2001 (USA)	All-Star Baseball 2001 est un jeu de base-ball sur Gameboy. Toutes les équipes de la Major League Baseball sont de la partie, ce qui porte le nombre de joueurs à 700. Par rapport aux versions précédentes, le contrôle du batteur et du lanceur ont été simplifiés dans le cadre d'un mode arcade. Pour maîtriser la batte en mode simulation, un entrainement est désormais disponible.
Alone in the Dark - The New Nightmare (USA) (En,Fr,Es)	Quatrième volet de la série Alone In The Dark. Vous incarnez Edward Carnby, maître dans l'étude du paranormal, qui enquête sur la mort mystérieuse de son meilleur ami. Vous menez votre investigation sur Shadow Island, une île pas vraiment réputée pour son atmosphère enchanteresse.
Animal Breeder 3 (Japan) (SGB Enhanced) (GB Compatible)	Animal Breeder 3 est un jeu de rôle et d'élevage développé et publié par J-Wing pour la plateforme Game Boy Color. Animal Breeder 3 n'a été distribué qu'au Japon.
Animal Breeder 4 (Japan)	Animal Breeder 4 est un jeu de rôle et d'élevage développé et distribué par J-Wing pour la plateforme Game Boy Color. Animal Breeder 4 n'a été distribué qu'au Japon.
Animastar GB (Japan)	Animastar sur Gameboy Color vous fait prendre la tête d'un ranch dans lequel on élève les animas, des monstres que vous faites participer à des courses. Vous devez donc vous en occuper comme il se doit, en les nourrissant ou en les faisant s'entraîner (que ce soit à la course ou au saut ou encore à l'attaque). Vous devez également acheter des permis pour posséder de nouvelles races et concourir dans de nouvelles courses.
Animorphs (USA)	Animorphs sur Gameboy est un jeu d'action/aventure tiré de la bande dessinée du même nom. Les diaboliques Yeerks envahissent la Terre ! Vous devez les arrêter ! Vous devez vous servir du pouvoir de métamorphose du héros pour vous changer en animal en fonction de la situation. Vous pouvez apprendre de nouvelles métamorphoses en capturant l'ADN des animaux que vous rencontrez lors de l'aventure.
