#key	synopsis
1942 (USA, Europe)	Una conversione del gioco arcade, 1942 è uno sparatutto a scorrimento verticale per uno o due giocatori. L'anno è il 1942, e tu sei un audace pilota di caccia &quot;Super Ace&quot;. Si inizia e si finisce ciascuno dei numerosi livelli su una portaerei e poi si vola in battaglia contro il nemico sia via mare che via terra. Dopo aver distrutto varie formazioni aeree è possibile raccogliere diversi power up per aumentare la potenza di fuoco e le possibilità di sopravvivenza.
Blaster Master - Enemy Below (World) (Evercade) (SGB Enhanced) (GB Compatible)	Un'antica minaccia è riapparsa e ancora una volta il pianeta è in pericolo. Blaster Master: Enemy Below porta su Game Boy Color il caratteristico mix di azione ed esplorazione della serie. Esplorate otto caverne, combattete contro i boss per ottenere i potenziamenti per Sophia III e sprofondate sempre di più nell'oscurità del covo nemico!
Bugs Bunny in - Crazy Castle 4 (USA)	Bugs Bunny in Crazy Castle 4 è il quarto episodio della serie di Crazy Castle per GB Color. Come nei primi tre capitoli impersonate Bugs Bunny, stavolta cercherete di scappare da Crazy Castle, e nel vostro viaggio incontrerete altri famosi amici di Looney Tunes: Taz, Yosemite Sam, Wile E. Coyote, Daffy Duck e Elmer Fudd. E' un platform game nel quale Bugs Bunny per riuscire nell'impresa di fuggire da Crazy Castle può salire scale, usare molle, liane e vari attrezzi tra cui martelli per rompere le rocce, carote per recuperare energia, armi per abbattere i nemici e picconi per scalare pareti rocciose. Oltre 60 livelli, in ognuno dei quali dovrete trovare le 8 chiavi necessarie per sbloccare l'accesso al livello successivo. Le trappole non mancheranno: pavimenti di ghiaccio, nastri trasportatori, pavimenti semoventi e piattaforme autodisgreganti.
Cannon Fodder (USA) (En,Fr,De,Es,It)	Guidate una squadra di un massimo di sei soldati attraverso diverse zone di battaglia in questo gioco d'azione/strategia dall'alto verso il basso. Si seleziona un soldato o un gruppo e si clicca su un pulsante per spostarlo in una determinata posizione e su un altro per sparare a un nemico. È anche possibile raccogliere granate o razzi che possono essere utilizzati per distruggere gruppi di nemici, edifici o determinati veicoli. Ogni missione ha un obiettivo specifico e alcune coinvolgono veicoli come i carri armati. Le truppe possono attraversare l'acqua ma non possono spararvi dentro, quindi trovare e controllare i ponti è spesso fondamentale. Potete sfruttare la disposizione degli alberi per trovare nascondigli da cui sparare, ma fate attenzione ai soldati nemici che fanno lo stesso.
Carmageddon - Carpocalypse Now (USA, Europe) (En,Fr,Es,It)	CARMAGEDDON porta tutta la carneficina dei giochi di corse d'azione per PC e Nintendo 64 sul Game Boy Color. Vesti i panni di uno degli ultimi sopravvissuti a un orribile disastro che ha trasformato un'intera città in zombi. Ora devi scendere in strada in una corsa mortale con altri sopravvissuti. Usa le tue armi e le tue abilità di guida per decimare i tuoi avversari ei pedoni zombificati che camminano per le strade. Troverai più di 30 tracce diverse di caos in quattro diverse aree, dandoti un sacco di rigiocabilità. Guadagna abbastanza punti e aggiornerai la tua macchina stradale con qualcosa di un po 'più distruttivo e ci sono 18 macchine diverse disponibili per il tuo uso. La grafica colorata rappresenta tutto il caos dei veicoli con velocità e stile, e una funzione password salva i tuoi progressi nel gioco.
Colin McRae Rally (Europe)	Colin McRae Rally on Gameboy è un gioco di corse che ti mette nei panni di un pilota di rally lanciato in diverse gare e campionati. Il gioco offre molte auto da guidare, oltre a una modalità carriera e molte modalità di gioco disponibili.
Croc (USA, Europe)	Non va tutto bene nel mondo di Croc. I suoi amici, i Gobbos, sono stati catturati dal malvagio barone Dante. La tua missione in questo platform 3D è cercare tra 42 diversi livelli per salvare tutti i tuoi amici prima che sia troppo tardi.
Croc 2 (World) (ModRetro Chromatic)	Croc inizia una ricerca per trovare i suoi genitori. Tuttavia, il barone Dante ha rapito i re Gobbos. Quindi Croc cambia i piani per salvare tutti i re Gobbo. Percorri 48 livelli in questo gioco 3D in ambiente gratuito. Devi superare tutti i livelli di un villaggio (tranne il livello segreto) per passare a quello successivo. In ogni villaggio (eccetto il quarto villaggio) ci sono 5 livelli regolari, 2 boss e 1 livello segreto. I livelli normali sono livelli in cui li sconfiggi e ottieni determinati oggetti al loro interno. I boss sono livelli in cui attraversi una sezione e alla fine combatti un mostro. I livelli segreti sono livelli in cui raccogli i pezzi del puzzle. Una volta raccolto il pezzo del puzzle nei 4 livelli segreti e sconfitto il barone Dante, Swap Meet Pete ti porterà ai livelli perduti.
Donkey Kong Country (USA, Europe) (En,Fr,De,Es,It)	In Donkey Kong Country si assume il ruolo del famoso gorilla di Nintendo. Re K. Rool ha rubato le banane di Donkey, così decide di partire alla loro ricerca. Ci sono due personaggi giocabili: Donkey è più grande e più forte, mentre Diddy è più veloce. Gli animali vi aiuteranno a superare alcuni livelli e a sconfiggere i Kremlings.
Doug's Big Game (USA)	Doug fa il suo ingresso nel mondo dei videogiochi con DOUG'S BIG GAME per Game Boy Color. Vesti i panni di Doug Funnie e del suo alter ego Quailman e cerca di ritrovare la tua amante scomparsa, Patti Mayonnaise. Puoi anche assumere il ruolo del tuo fedele cane Porkchop, che ha anche un suo alter ego da supereroe: Quaildog. Risolvi il mistero della scomparsa di Patti cercando indizi nella città di Bluffington e scrivili sul tuo diario per riferimento futuro. Scopri chi si nasconde dietro la scomparsa di Patti e dove si trova, esplorando 20 diverse ambientazioni della famosa serie TV, dove probabilmente incontrerai diversi personaggi famosi lungo il cammino. E non dimenticare di tenere d'occhio i potenziamenti che aumenteranno la forza e i poteri di Quailman. DOUG'
