#key	synopsis
007 - The World Is Not Enough (USA, Europe)	Parece que um agente do MI-6 foi morto pouco antes de entregar um relatório do Departamento de Energia Atômica da Rússia. Como James Bond (sim, o próprio James Bond), você vai precisar da sua licença para matar para descobrir quem o matou e devolver um dinheiro roubado ao Rei. Baseado no filme de Bond de 1999 com o mesmo título, 007: O Mundo Não é o Bastante abrange 14 fases, cada uma com vários objetivos. Usando todas as armas e dispositivos que conseguir encontrar, você será desafiado a frustrar um ataque terrorista, libertar reféns em uma estação de trem e muito mais. Para ajudar em suas missões, você terá acesso a um kit de desativação de bombas, câmera digital, modem secreto, relógio com gancho, óculos de visão noturna e cerca de uma dúzia de outros itens semelhantes. O jogo permite que você escolha seu personagem, o ambiente, uma variedade de armas disponíveis e um cenário. Esta aventura oferece três níveis de dificuldade diferentes.
10-Pin Bowling (USA) (Rumble Version)	10-PIN BOWLING traz toda a diversão do boliche em miniatura para o seu Game Boy Color. Jogue sozinho ou com um amigo em 10 rodadas de pura ação de boliche tradicional. Desafie seu amigo para ver quem é melhor ou tente bater seus próprios recordes para ver se consegue superá-los. Mire com cuidado e aplique a força certa para acumular strikes rapidamente. Este cartucho também utiliza a tecnologia Rumble, para que você sinta cada strike e spare na pista. 10-PIN BOWLING tem tudo, menos o aluguel dos sapatos fedorentos. Você vai dominar a pista ou vai acabar fazendo só bola na canaleta?
1942 (USA, Europe)	O ano é 1942, e você é um ousado piloto de caça &quot;Super Ace&quot;. Você começa e termina cada um dos inúmeros níveis em um porta-aviões e, em seguida, pilota seu avião para a batalha contra o inimigo, por mar e terra. Depois de destruir certas formações de avião, você pode coletar vários power-ups diferentes para aumentar seu poder de fogo e as chances de sobrevivência.
3-D Ultra Pinball - Thrillride (USA) (Rumble Version)	&quot;3D Ultra Pinball - Thrillride&quot;, lançado em 1998 pela Sierra On-Line para Game Boy Color, é um jogo de pinball com temática de parque de diversões. O jogo apresenta três mesas diferentes, cada uma com seu próprio conjunto de desafios e objetivos.
3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)	3D Pocket Pool é uma simulação de bilhar que oferece quatro tipos de jogos com 8 ou 9 bolas e regras personalizáveis (americana, inglesa ou de bar). Se você conseguir superar todos esses desafios, ainda restará o modo Versus, onde é possível jogar em dupla. Já na primeira partida, a 3D surpreende! Sim, você leu certo: a mesa de jogo é recriada em verdadeira 3D com polígonos, e o resultado está longe de ser ruim! Você pode girar ao redor da mesa usando o direcional para analisar melhor cada situação. O problema aparece na jogabilidade. Mesmo que uma representação da sua bola seja exibida para antecipar sua trajetória, nem sempre é fácil fazer o que se deseja no tempo disponível. Felizmente, existe uma opção para pausar o cronômetro.
720 Degrees (USA, Europe) (GB Compatible)	Você é um skatista em Skate City, um dos maiores skateparks já construídos. Dê ollies nas rampas, deslize nos corrimãos e desvie dos pedestres enquanto manda suas manobras. Visite as lojas de skate espalhadas pelo parque para melhorar seu equipamento e aprimorar suas habilidades. Participe de competições para ganhar medalhas e dinheiro, que podem ser usados nas lojas. Mas, se você não chegar a tempo em uma competição, a famosa mensagem &quot;Skate Or Die&quot; aparece — e aí é melhor correr!
AirForce Delta (USA)	Como piloto de caça a jato em uma guerra civil, o jogador vai tomar os céus com uma visão por trás do avião ao longo de dez missões, podendo escolher entre até oito aeronaves diferentes. Para completar uma missão, o jogador deve destruir uma certa quantidade de aeronaves inimigas ou alvos terrestres e, em seguida, eliminar um chefe — que pode ser uma aeronave ou veículo terrestre. Cada missão recompensa o jogador com dinheiro. Após derrotar o chefe, o valor ganho pode ser usado para comprar novos aviões e melhorias para essas aeronaves.
All-Star Baseball 2000 (USA, Europe)	O segundo lugar da série All-Star Baseball inclui uma ampla gama de melhorias e novos recursos em relação ao ASB '99. E todos os 30 times e seus respectivos jogadores, estádios, camisas de casa e fora de casa e rostos, tamanhos e estilos de jogo realistas dos jogadores.
Antz Racing (USA) (En,Fr,De,Es,It,Nl)	Baseado no filme de animação computadorizada Antz, produzido pela DreamWorks, este jogo representa o desafio de corrida entre 6 personagens principais (Z, Bala, Weaver, Mandible, Cutter e Azteca). Cada personagem possui sua própria máquina de corrida, bem como parâmetros de Resistência, Controle e Velocidade. Existem dois modos de jogo: Corrida Rápida e Campeonato das 4 Estações. Durante a Corrida Rápida, o jogador escolhe a estação e a pista com base em uma seleção aleatória. Durante o Campeonato das 4 Estações, o jogador deve vencer cada corrida para ganhar uma senha e progredir. A jogabilidade representa uma corrida entre quatro pilotos em visão superior de terceira pessoa por várias voltas. O jogador deve controlar o piloto selecionado, coletar diferentes power-ups, acelerar, evitar obstáculos, saltar com a máquina, atirar, etc., para vencer a corrida. Quando o nível de dano da máquina atinge o ponto crítico, a máquina para por algum tempo para ser reparada. O jogo possui três níveis de dificuldade e está disponível em inglês, alemão, holandês, espanhol, francês e italiano.
Baby Felix - Halloween (Europe) (En,Fr,De,Es,It,Nl)	Halloween, Baby Felix vestido como um cowboy e Baby Kitty vestida como uma adorável bruxinha, entram em uma casa abandonada, uma voz lhes diz: &quot;encontrem as chaves mágicas que permitirão abrir a última porta da casa... e então libertem seus amigos&quot;. - Jogue como Baby Felix ou a fofa Baby Kitty - Viaje por 5 períodos diferentes: Pré-história, Halloween, Velho Oeste... - Descubra todos os personagens da série de TV.
